Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,Date,Total Adjusted OB Delta Volume,Billable ,Ecomm
2024-12-14 00:00:00,5811,41870,47681,0.1218724439504205,0.8781275560495795,,,,,,,,,
2024-12-21 00:00:00,5143,33617,38760,0.13268833849329206,0.8673116615067079,,,,,,,,,
2024-12-28 00:00:00,4581,22607,27188,0.16849345299396792,0.8315065470060321,,,,,,,,,
2025-01-04 00:00:00,6177,28129,34306,0.18005596688625897,0.8199440331137411,,,,,,,,,
2025-01-11 00:00:00,4515,33108,37623,0.12000637907662866,0.8799936209233713,,,,,,,,,
2025-01-18 00:00:00,4748,36910,41658,0.11397570694704498,0.886024293052955,,,,,,,,,
2025-01-25 00:00:00,4207,33055,37262,0.11290322580645161,0.8870967741935484,,,,,,,,,
2025-02-01 00:00:00,4347,31811,36158,0.12022235743127385,0.8797776425687261,,,,,,,,,
2025-02-08 00:00:00,5002,38922,43924,0.11387851743921319,0.8861214825607868,,,,,,,,,
2025-02-15 00:00:00,5906,35493,41399,0.14266045073552502,0.857339549264475,,,,,,,,,
2025-02-22 00:00:00,6960,33542,40502,0.17184336575971557,0.8281566342402844,,,,,,,,,
2025-03-01 00:00:00,5529,31547,37076,0.14912611932247277,0.8508738806775272,,,,,,,,,
2025-03-08 00:00:00,5493,35121,40614,0.13524892894075935,0.8647510710592407,,,,,,,,,
2025-03-15 00:00:00,4692,38708,43400,0.10811059907834102,0.891889400921659,,,,,,,,,
Grand Total,125946,815600,941546,0.1337651054754627,0.8662348945245373,,,,,,,,,
