Unnamed: 0,Unnamed: 1,Capacity (45),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
W/E,Period ,Shipping,Ecom,Total Shipping,CG Rec,Uph Rec,Total Receiving,Total PO Cans,Total TO Cans,Transfers,ULC,DLC,Shipping Capacity ($),WKLY ASP ($),Capacity (40)
2026-02-14 00:00:00,FEB,59807,8420,68227,61797,11713,73510,,,3221,12793,-,15504150.88,227.2436261304176,
2026-02-21 00:00:00,FEB,60241,11909,72150,64979,11267,76246,,,2871,11220,-,17345816.44,240.41325627165628,
2026-02-28 00:00:00,FEB,58752,10144,68896,62073,11700,73773,,,3051,12875,-,16294952,240.41325627165628,
2026-03-07 00:00:00,MAR,61732,9460,71192,56296,13511,69807,,,3138,12108,-,16333986.76,229.43570569726936,
2026-03-14 00:00:00,MAR,62958,9256,72214,61750,11786,73536,,,2705,12276,-,17187841,238.0125875868945,
2026-03-21 00:00:00,MAR,60572,10232,70804,54045,10357,64402,,,2501,11782,-,16664942,235.36723913903168,
2026-03-28 00:00:00,MAR,51987,10266,62253,36964,5606,42570,146,81,2519.8806113723813,10569,-,14973627,240.57,
2026-04-04 00:00:00,APR,59278,10500,69778,48480,9029,57509,185,90,2484.613264147884,10221,-,16724897,239.46,
2026-04-11 00:00:00,APR,53245,8652,61897,33372,6664,40036,145,68,1858.4588734245265,8960,-,15321077,247.19,
2026-04-18 00:00:00,APR,53734,8346,62080,65869,12654,78523,340,76,9080.198467282373,17947,-,15486946,249.06,
2026-04-25 00:00:00,APR,53628,8265,61893,16308,3421,19729,10,80,1350.1974092006226,7468,-,15168645,244.9,
2026-05-02 00:00:00,MAY,60819,9321,70140,69375,9030,78405,276,85,6732.308198334693,13157,-,16958794,241.46,
2026-05-09 00:00:00,MAY,51991,9846,61837,51477,10811,62288,233,88,5287.004819482912,12063,-,15002197,242.27,
2026-05-16 00:00:00,MAY,51012,9476,60488,44113,8584,52697,191,92,4398.157244398729,10481,-,14973424,247.36,
2026-05-23 00:00:00,MAY,53204,11263,64467,48981,8348,57329,196,79,6214.363568591663,12237,-,16331926,253.38,
2026-05-30 00:00:00,MAY,62629,13893,76522,41546,7351,48897,99,114,4903.484127811515,15480,-,19472498,254.58,
2026-06-06 00:00:00,JUN,52196,9100,61296,34767,9692,44459,145,97,2802.7996888578937,10480,-,15457862,252.38,
2026-06-13 00:00:00,JUN,59227,8450,67677,44308,11790,56098,213,79,4546.09654258922,13318,-,16490761,243.76,
2026-06-20 00:00:00,JUN,60321,8360,68681,65742,7692,73434,293,73,7015.040538547439,12575,-,16514396,239.99,
2026-06-27 00:00:00,JUN,52418,11701,64119,58476,12683,71159,247,117,8481.541547883011,13561,-,15906415,247.78,
2026-07-04 00:00:00,JUL,56892,11305,68197,58109,8236,66345,223,92,7008.247316444826,8555,-,17146156,251.22,
2026-07-11 00:00:00,JUL,56805,10220,67025,59197,10340,69537,247,79,8051.854857911901,12276,-,17142120,255.77,
2026-07-18 00:00:00,JUL,60747,5024,65771,48238,9625,57863,225,78,7413.287475915222,11698,-,15969138,243.01,
2026-07-25 00:00:00,JUL,58774,4843,63617,48515,8960,57475,216,74,4898.933263628498,11903,-,15440671,243.25,
2026-08-01 00:00:00,AUG,69414,4997,74411,74875,14821,89696,313,110,7305.753390623174,14231,-,17757706,239.24,
2026-08-08 00:00:00,AUG,61070,5184,66254,55422,11883,67305,244,101,3655.463694662805,11187,-,16319429,247.01,
2026-08-15 00:00:00,AUG,62054,4978,67032,52631,11103,63734,232,81,3653.925064802451,10894,-,16394592,244.95,
2026-08-22 00:00:00,AUG,59510,4955,64465,50565,10586,61151,217,94,4109.558192985418,11072,-,16129627,250.53,
2026-08-29 00:00:00,AUG,61354,6040,67394,42328,10551,52879,166,87,6051.7519303623585,13925,-,16969155,252.22,
2026-09-05 00:00:00,SEP,64178,7694,71872,50157,8660,58817,207,87,3820.703418059599,11758,-,18756530,261.61,
