Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,40 Hour Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ECR,,HC (+/-),,,HC % to Staffed,,,,RKD,,HC (+/-),,,HC % to Staffed,,,,MSQ,,HC (+/-),,,HC % to Staffed,,,,,
,,,,,1 to 4,5 to 8,9 to 12,1 to 4,5 to 8,9 to 12,,,,1 to 4,5 to 8,9 to 12,1 to 4,5 to 8,9 to 12,,,,1 to 4,5 to 8,9 to 12,1 to 4,5 to 8,9 to 12,,,
,,,,Shipping,5.316353633086702,-6.403070836473248,-15.079767267267268,0.9680346910153214,1.0414178397405316,1.103342538487362,,,Shipping,8.99919010442316,-4.4910246911621226,-7.457215746398967,0.9604191634950914,1.0522286396581146,1.132371282129012,,,Shipping,-10.194726166328602,-9.720262096774194,-15.896761133603238,0.9404772651722171,1.0825170648567741,1.2188002952013444,,,
,,,,Ecomm,2.4482142857142857,0.649702380952381,4.199404761904762,0.8033280734471381,0.9389933767431462,0.7042548731922028,,,Ecomm,1.4625,0.5380859375,2.413671875,0.6713018460800767,0.8850023705420639,0.5435134260757036,,,Ecomm,5.05472972972973,3.120945945945946,5.3510135135135135,0.6713018460800767,0.8850023705420639,0.5435134260757036,,,
,,,,CR-R,-7.6184107515657615,-5.205988023952096,9.670958083832335,1.108244369485238,1.0715167069739895,0.88969028860635,,,CR-R,0.5856250000000001,-6.885714285714286,-10.631845238095238,1.1482712166556412,1.0967763480119328,0.8591696059923004,,,CR-R,-10.1175,-2.143125,4.2653125,1.2352698224017569,1.149623102605583,0.8052995461148517,,,
,,,,UPH-R,0.326251078515962,-1.906142611683849,3.67321735395189,0.988060891427128,1.075960526203172,0.8802467536559663,,,UPH-R,-7.388104838709677,-6.33820564516129,-9.084173387096774,0.9895853775257611,1.0655170122765962,0.8940618254010041,,,UPH-R,-6.22161525278492,-3.8673885077186965,2.9127358490566038,0.9865885179979872,1.0862747766576908,0.8672645357072175,,,
,,,,UPH-LC,0.2524373259052925,8.355965645311048,15.747803975959318,0.9961897654472165,0.8876221218729075,0.8073611374246764,,,UPH-LC,1.136607142857143,5.7,6.971428571428571,0.9926300915901721,0.8027204546513254,0.6834472535999888,,,UPH-LC,-1.34375,-1.5625,-10.45,0.9775659869418573,0.5683002440472265,0.4112487144696701,,,
,,,,DOM-LC,0,0,0,0,0,0,,,DOM-LC,-2.7969460227272727,0.2930397727272727,0.4578125,1,1,1,,,DOM-LC,0,0,0,0,0,0,,,
,,,,OB Trans,2.866495449798245,6.420836487730756,7.671199705933978,0.8071841840951731,0.6514362150705061,0.6100288838194298,,,OB Trans,1.0927707683400338,-5.511954970224787,-1.6807630169944154,0.884724590339428,0.7740799609996482,0.7414597393444861,,,OB Trans,-0.17974019722940018,1.3275747723033142,-1.082141609947686,0.5113785607901857,0.31844306011542134,0.28113052727630783,,,
