Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
17 ,2026-03-21,7663,Domestic Casegoods,789936
17 ,2026-03-21,3553,Imported Upholstery,1982060
17 ,2026-03-21,5602,Domestic Bedding,2093057
17 ,2026-03-21,3966,Import Bedding,840248
28 ,2026-03-21,3619,Domestic Bedding,1376213
28 ,2026-03-21,1771,Imported Upholstery,1064300
28 ,2026-03-21,10018,Upholstery,2982706
28 ,2026-03-21,15332,Import Casegoods,2390662
28 ,2026-03-21,4248,Domestic Casegoods,434424
28 ,2026-03-21,2958,Import Bedding,561411
335,2026-03-21,32090,Import Casegoods,5482114
335,2026-03-21,9298,Imported Upholstery,5973305
335,2026-03-21,8,Domestic Casegoods,1233
335,2026-03-21,379,Import Bedding,225948
335,2026-03-21,11841,Upholstery,3461038
42 ,2026-03-21,0,Upholstery,0
42 ,2026-03-21,0,Domestic Casegoods,0
42 ,2026-03-21,0,Import Casegoods,0
5  ,2026-03-21,4897,Domestic Casegoods,513739
5  ,2026-03-21,6387,Domestic Bedding,2498404
5  ,2026-03-21,5,Marketplace,0
5  ,2026-03-21,3080,Imported Upholstery,1919004
5  ,2026-03-21,16363,Upholstery,4828388
5  ,2026-03-21,25007,Import Casegoods,3724826
5  ,2026-03-21,5569,Import Bedding,1087172
ECR,2026-03-21,29098,Import Casegoods,4521332
ECR,2026-03-21,6643,Domestic Bedding,2210745
ECR,2026-03-21,30495,Upholstery,8790544
ECR,2026-03-21,8219,Domestic Casegoods,852034
ECR,2026-03-21,13,Marketplace,0
ECR,2026-03-21,4736,Imported Upholstery,2817644
ECR,2026-03-21,4444,Import Bedding,663666
1  ,2026-03-28,29850,Upholstery,8446244
1  ,2026-03-28,3564,Import Bedding,652230
1  ,2026-03-28,3710,Imported Upholstery,2046766
1  ,2026-03-28,4933,Domestic Bedding,1618898
1  ,2026-03-28,15349,Domestic Casegoods,1566208
1  ,2026-03-28,31837,Import Casegoods,4664405
15 ,2026-03-28,4013,Import Bedding,743073
15 ,2026-03-28,7368,Domestic Casegoods,777322
15 ,2026-03-28,12,Marketplace,0
