Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,Column Labels,,,,,,,
,15 ,,,,Total Sum of Billable Volume,Total Sum of Billable Invoicing,Total Sum of Ecommerce Volume,Total Sum of Ecommerce Invoicing
Row Labels,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,,,,
2025-04-05 00:00:00,62614,13655412.959999999,13621,1948004.2799999998,62614,13655412.959999999,13621,1948004.2799999998
2025-03-29 00:00:00,59994,13253074.23,13978,2009739.7899999998,59994,13253074.23,13978,2009739.7899999998
2025-03-22 00:00:00,61558,13318974.73,12839,1880060.8299999998,61558,13318974.73,12839,1880060.8299999998
2025-03-15 00:00:00,57717,12004208.170000002,13305,1889113.24,57717,12004208.170000002,13305,1889113.24
2025-03-08 00:00:00,62208,13419267.399999999,13123,1877679.4799999997,62208,13419267.399999999,13123,1877679.4799999997
2025-03-01 00:00:00,60799,13383900.9,14914,2219574.59,60799,13383900.9,14914,2219574.59
2025-02-22 00:00:00,54221,11967308.01,26995,4324994.96,54221,11967308.01,26995,4324994.96
2025-02-15 00:00:00,60257,13193274.559999999,15202,2636675,60257,13193274.559999999,15202,2636675
2025-02-08 00:00:00,61328,13459247.81,12963,2278144.0599999996,61328,13459247.81,12963,2278144.0599999996
2025-02-01 00:00:00,57489,12690290.6,10060,1626623.02,57489,12690290.6,10060,1626623.02
2025-01-25 00:00:00,57523,12735853.61,8687,1371700.1400000001,57523,12735853.61,8687,1371700.1400000001
2025-01-18 00:00:00,53623,12036075.06,10900,1568117.2100000002,53623,12036075.06,10900,1568117.2100000002
2025-01-11 00:00:00,56962,12854487.389999999,9692,1516389.87,56962,12854487.389999999,9692,1516389.87
2025-01-04 00:00:00,42462,9466129.79,12385,1938172.0699999998,42462,9466129.79,12385,1938172.0699999998
2024-12-28 00:00:00,34930,7665187.73,9330,1444501.6600000001,34930,7665187.73,9330,1444501.6600000001
2024-12-21 00:00:00,56110,12029988.000000002,11108,1654805.81,56110,12029988.000000002,11108,1654805.81
2024-12-14 00:00:00,63155,13563516.540000001,13462,2030861.7300000002,63155,13563516.540000001,13462,2030861.7300000002
2024-12-07 00:00:00,67616,14936870.6,23973,4090560.0699999994,67616,14936870.6,23973,4090560.0699999994
2024-11-30 00:00:00,51141,11343850.51,24638,3987505.96,51141,11343850.51,24638,3987505.96
2024-11-23 00:00:00,67167,14646277.69,17748,2671112.01,67167,14646277.69,17748,2671112.01
2024-11-16 00:00:00,66383,14042845.91,13531,1874923.66,66383,14042845.91,13531,1874923.66
2024-11-09 00:00:00,63729,13996182.459999999,10309,1501181.76,63729,13996182.459999999,10309,1501181.76
2024-11-02 00:00:00,56921,12070822.82,9533,1492833.48,56921,12070822.82,9533,1492833.48
2024-10-26 00:00:00,64854,13783530.030000001,9978,1578763.25,64854,13783530.030000001,9978,1578763.25
2024-10-19 00:00:00,57605,12104800.030000001,10601,1689453.4200000002,57605,12104800.030000001,10601,1689453.4200000002
2024-10-12 00:00:00,64659,14194449.37,10399,1579296.07,64659,14194449.37,10399,1579296.07
2024-10-05 00:00:00,63970,13642015.9,5403,598463.11,63970,13642015.9,5403,598463.11
2024-09-28 00:00:00,60499,13166615.87,5104,568265.78,60499,13166615.87,5104,568265.78
2024-09-21 00:00:00,49334,10697811.39,5070,591908.39,49334,10697811.39,5070,591908.39
2024-09-14 00:00:00,52891,11087164.87,4599,523427.32999999996,52891,11087164.87,4599,523427.32999999996
2024-09-07 00:00:00,48157,10420382.82,6181,706067.74,48157,10420382.82,6181,706067.74
2024-08-31 00:00:00,47122,10309191.86,6051,672816.8200000001,47122,10309191.86,6051,672816.8200000001
2024-08-24 00:00:00,72758,15393541.71,8625,1295808.1400000001,72758,15393541.71,8625,1295808.1400000001
2024-08-17 00:00:00,50116,10632577.440000001,9528,1478413.01,50116,10632577.440000001,9528,1478413.01
2024-08-10 00:00:00,49238,10552006.059999999,8782,1324276.21,49238,10552006.059999999,8782,1324276.21
2024-08-03 00:00:00,46310,9895962.09,7784,1147758.31,46310,9895962.09,7784,1147758.31
2024-07-27 00:00:00,51073,10740536.12,7382,1068112.8599999999,51073,10740536.12,7382,1068112.8599999999
2024-07-20 00:00:00,51426,10745136.22,11995,1845782.45,51426,10745136.22,11995,1845782.45
2024-07-13 00:00:00,53469,11259230.530000001,5473,676984.03,53469,11259230.530000001,5473,676984.03
2024-07-06 00:00:00,45232,9648382.649999999,7051,944410.6399999999,45232,9648382.649999999,7051,944410.6399999999
2024-06-29 00:00:00,47020,10305695.09,6196,733776.2799999999,47020,10305695.09,6196,733776.2799999999
2024-06-22 00:00:00,52328,11289645.71,5564,665264.63,52328,11289645.71,5564,665264.63
2024-06-15 00:00:00,59312,12319456.05,6399,792633.32,59312,12319456.05,6399,792633.32
2024-06-08 00:00:00,57316,12042812.73,8045,1026373.8999999999,57316,12042812.73,8045,1026373.8999999999
2024-06-01 00:00:00,53906,11332057.35,9882,1207602.53,53906,11332057.35,9882,1207602.53
2024-05-25 00:00:00,53700,11526336.22,8256,983921.7300000001,53700,11526336.22,8256,983921.7300000001
2024-05-18 00:00:00,58053,12529605.860000001,7722,944392.1099999999,58053,12529605.860000001,7722,944392.1099999999
2024-05-11 00:00:00,58713,12395106.53,7820,967705.4000000001,58713,12395106.53,7820,967705.4000000001
2024-05-04 00:00:00,55894,12252768.03,6617,788604.47,55894,12252768.03,6617,788604.47
2024-04-27 00:00:00,51985,11382180.88,5665,666970.1000000001,51985,11382180.88,5665,666970.1000000001
2024-04-20 00:00:00,52638,11417222.8,5922,699683.56,52638,11417222.8,5922,699683.56
2024-04-13 00:00:00,50730,11367063.54,5779,721906.53,50730,11367063.54,5779,721906.53
2024-04-06 00:00:00,58664,12471868.77,5810,735622.24,58664,12471868.77,5810,735622.24
2024-03-30 00:00:00,62410,13465238.58,6372,810853.75,62410,13465238.58,6372,810853.75
2024-03-23 00:00:00,63564,13419852.94,5718,685746.7100000001,63564,13419852.94,5718,685746.7100000001
2024-03-16 00:00:00,64979,13701547.04,5846,671044.71,64979,13701547.04,5846,671044.71
2024-03-09 00:00:00,61016,13433259.43,6292,694071.26,61016,13433259.43,6292,694071.26
2024-03-02 00:00:00,62967,13978764.609999998,6159,705533.95,62967,13978764.609999998,6159,705533.95
2024-02-24 00:00:00,56381,12025372.340000002,6938,765525.9,56381,12025372.340000002,6938,765525.9
2024-02-17 00:00:00,55483,11694384.11,5321,567663.89,55483,11694384.11,5321,567663.89
2024-02-10 00:00:00,56279,11920959.86,5680,582475.49,56279,11920959.86,5680,582475.49
2024-02-03 00:00:00,59378,12686464.04,5167,570685.77,59378,12686464.04,5167,570685.77
2024-01-27 00:00:00,55208,12165271.33,5449,572645.54,55208,12165271.33,5449,572645.54
2024-01-20 00:00:00,55427,11990838.620000001,5807,628066.09,55427,11990838.620000001,5807,628066.09
2024-01-13 00:00:00,63502,13459625.5,5801,640520.07,63502,13459625.5,5801,640520.07
2024-01-06 00:00:00,47496,10359304.9,5739,647593.0399999999,47496,10359304.9,5739,647593.0399999999
2023-12-30 00:00:00,36069,7872689.51,4272,471866.13,36069,7872689.51,4272,471866.13
2023-12-23 00:00:00,60967,13301887.559999999,4720,549549.23,60967,13301887.559999999,4720,549549.23
2023-12-16 00:00:00,57595,12989240.469999999,5552,659825.55,57595,12989240.469999999,5552,659825.55
2023-12-09 00:00:00,70783,15014764.590000002,5793,690879.1799999999,70783,15014764.590000002,5793,690879.1799999999
2023-12-02 00:00:00,62518,13800892.889999999,9272,1174448.17,62518,13800892.889999999,9272,1174448.17
2023-11-25 00:00:00,53835,11323877.2,8166,1021607.4600000001,53835,11323877.2,8166,1021607.4600000001
2023-11-18 00:00:00,66492,14276141.049999999,7577,875446.3400000001,66492,14276141.049999999,7577,875446.3400000001
2023-11-11 00:00:00,62265,13115222.380000003,7969,884852.9000000001,62265,13115222.380000003,7969,884852.9000000001
2023-11-04 00:00:00,19805,4113334.6900000004,1714,192002.44,19805,4113334.6900000004,1714,192002.44
Grand Total,6741514,1486072248.5799992,1317661,193167077.81999996,6741514,1486072248.5799992,1317661,193167077.81999996
