Saturday | 04/04/2026 | WEEK 14,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2026-04-04 00:00:00,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,WK 11 AVG OT ,AVG ABS,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
ECOMM SHIP,13,11,ECOMM SHIP,13,,,13,ECOMM SHIP,13,14,1,14,1.0,,,,Ecomm Shipments,17.51004216360443,0.06412195309472185,,,,,,,,
RECEIVING,56,52,RECEIVING,58,,,56,RECEIVING,60,63,3,65,5.0,,,,CG - Receiving,20.11865644299832,0.09838783686841945,,,,,,,,
UPH RECEIVING,24,23,UPH RECEIVING,25,,,24,UPH RECEIVING,23,21,-2,19,-4.0,,,,UPH - Receiving,13.691477445075872,0.09206736061302086,,,,,,,,
UPH LINE CLEARING,25,25,UPH LINE CLEARING,26,,,25,UPH LINE CLEARING,24,28,4,28,4.0,,,,UPH Line Clearing,8.669688215477798,0.11293340005685899,,,,,,,,
DOM LINE CLEARING,,,DOM LINE CLEARING,,,,,DOM LINE CLEARING,,,,,,,,,DOM Line Clearing,N/A ,,,,,,,,,
SHIP-TRANSFERS,5,5,SHIP-TRANSFERS,6,,,7,SHIP-TRANSFERS,4,5,1,5,1.0,,,,Outbound Xfers,15.596905095188438,0.09650282151514879,,,,,,,,
Grand Total,238,231,Grand Total,247,,,244,Grand Total,248,261,13,256,8.0,Net Hire Needs,,,2026 Total ,13.99,0.0947,,,,,,,,
,,,,,,,,,,,9.538461538461538,,9.538461538461538,90 Day Terms,,,,,,,,,,,,,
,,,,,,,,,,,76.3076923076923,,152.6153846153846,TO Backfill,,,,,,,,,,,,,
,,,,,,,,,60 Day Recruiting Needs →,,89.3076923076923,,160.6153846153846,60 Day Hires SUM,,,,,,,,,,,,,
