Week Ending Date,Weekday,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Ecomm %,Unnamed: 12,Ecomm 2 WK,Ecomm 13 WK,Unnamed: 15,Demand Fulfillment Buffer,Unnamed: 17,Unnamed: 18,Unnamed: 19,Demand Fulfillment,Unnamed: 21,Unnamed: 22,Unnamed: 23
2023-07-08,Monday,7512,1719845.22,228.94638178913738,1805,245674.66,136.10784487534627,9317,1965519.88,210.96059675861326,0.193731887946764,,,,,,,,,,,,
2023-07-08,Tuesday,4258,916788.3,215.30960544856742,1173,155180.85,132.29398976982097,5431,1071969.1500000001,197.37969987111032,0.2159823236972933,,,,,,,,,,,,
2023-07-08,Wednesday,8637,1890643.77,218.90051754081279,1456,201272.69,138.23673763736264,10093,2091916.46,207.26408996334092,0.14425839690874864,,,,,,,,,,,,
2023-07-08,Thursday,11074,2330794.18,210.47446089940402,1143,158721.37,138.86384076990376,12217,2489515.5500000003,203.77470328231155,0.09355815666693951,,,,,,,,,,,,
2023-07-08,Friday,9860,2027612.72,205.64023529411764,872,107974.38,123.82383027522937,10732,2135587.1,198.99246179649646,0.08125232948192322,,,,,,,,,,,,
2023-07-08,Saturday,7467,1598059.06,214.01621266907728,797,100677.37,126.32041405269761,8264,1698736.4300000002,205.55861931268154,0.09644240077444337,,,,,,,,,,,,
2023-07-01,Total,60724,13134523.88,216.298726697846,7013,912634.44,130.13466989875943,67737,14047158.32,207.37792225814547,0.10353278119786823,,,,,,,,,,,,
2023-07-01,Sunday,3396,707015.05,208.19053297997647,828,108102.53,130.5586111111111,4224,815117.5800000001,192.9729119318182,0.19602272727272727,,,,,,,,,,,,
2023-07-01,Monday,8087,1811912.86,224.0525361691604,1340,169699.46,126.64138805970148,9427,1981612.32,210.20603797602632,0.1421449029383685,,,,,,,,,,,,
2023-07-01,Tuesday,12003,2549161.85,212.37705990169124,1111,147904.9,133.12772277227722,13114,2697066.75,205.66316531950588,0.08471862132072594,,,,,,,,,,,,
2023-07-01,Wednesday,10889,2404059.49,220.77872072733953,936,121288.33,129.58154914529914,11825,2525347.8200000003,213.5600693446089,0.07915433403805497,,,,,,,,,,,,
2023-07-01,Thursday,10048,2160334.76,215.00146894904455,893,111306.99,124.64388577827548,10941,2271641.75,207.6265195137556,0.08161959601498948,,,,,,,,,,,,
2023-07-01,Friday,9282,2011003.27,216.65624542124542,1094,148521.6,135.7601462522852,10376,2159524.87,208.12691499614496,0.10543562066306862,,,,,,,,,,,,
2023-07-01,Saturday,7019,1491036.6,212.42863655791425,811,105810.63,130.46933415536375,7830,1596847.23,203.93962068965516,0.10357598978288633,,,,,,,,,,,,
2023-06-24,Total,49887,10492760.57,210.3305584621244,5843,759727.22,130.02348451138113,55730,11252487.790000001,201.91078036963935,0.10484478736766553,,,,,,,,,,,,
2023-06-24,Sunday,799,172016.08,215.28921151439297,528,68662.67,130.0429356060606,1327,240678.75,181.37057272042202,0.39788997739261495,,,,,,,,,,,,
2023-06-24,Monday,7747,1688713.82,217.9829379114496,1254,156187.52,124.55145135566187,9001,1844901.34,204.96626374847241,0.13931785357182536,,,,,,,,,,,,
2023-06-24,Tuesday,8708,1840046.75,211.3053226917777,953,122781.52,128.83685204616998,9661,1962828.27,203.17030017596522,0.09864403270882931,,,,,,,,,,,,
2023-06-24,Wednesday,8947,1892499.39,211.52334749077903,764,105999.54,138.74285340314134,9711,1998498.93,205.7974389867161,0.07867366903511482,,,,,,,,,,,,
2023-06-24,Thursday,8500,1781026.31,209.53250705882354,795,111497.91,140.24894339622642,9295,1892524.22,203.60669392146315,0.085529854760624,,,,,,,,,,,,
2023-06-24,Friday,9284,1936648.59,208.6006667384748,730,94575.03,129.55483561643837,10014,2031223.62,202.838388256441,0.07289794287996805,,,,,,,,,,,,
2023-06-24,Saturday,5902,1181809.63,200.23883937648253,819,100023.03,122.12824175824176,6721,1281832.66,190.7205267073352,0.1218568665377176,,,,,,,,,,,,
2023-06-17,Total,47825,10582410.7,221.27361630946157,5340,700633.5,131.20477528089887,53165,11283044.2,212.22691996614313,0.10044202012602275,,,,,,,,,,,,
2023-06-17,Sunday,703,196155.86,279.0268278805121,600,75904.94,126.50823333333334,1303,272060.8,208.79570222563314,0.4604758250191865,,,,,,,,,,,,
2023-06-17,Monday,8170,1761229.78,215.5728004895961,990,138987.16,140.39107070707072,9160,1900216.94,207.44726419213973,0.10807860262008734,,,,,,,,,,,,
2023-06-17,Tuesday,9030,2054215.56,227.4878803986711,803,102656.69,127.84145703611458,9833,2156872.25,219.35037628394184,0.08166378521305807,,,,,,,,,,,,
2023-06-17,Wednesday,9984,2254654.77,225.82679987980768,724,94359.23,130.33042817679558,10708,2349014.0,219.37000373552485,0.06761299962644751,,,,,,,,,,,,
2023-06-17,Thursday,7352,1646834.71,223.99819232861805,707,87510.81,123.77766619519095,8059,1734345.52,215.2060454150639,0.08772800595607395,,,,,,,,,,,,
2023-06-17,Friday,6015,1318027.28,219.12340482128013,807,106751.2,132.2815365551425,6822,1424778.48,208.85055408970976,0.11829375549692173,,,,,,,,,,,,
2023-06-17,Saturday,6571,1351292.74,205.64491553796987,709,94463.47,133.23479548660086,7280,1445756.21,198.592885989011,0.09739010989010989,,,,,,,,,,,,
2023-06-10,Total,70206,15506028.06,220.8647132723699,4982,652342.68,130.93991971095946,75188,16158370.74,214.90624487950205,0.06626057349577061,,,,,,,,,,,,
2023-06-10,Sunday,2792,680571.76,243.7577936962751,616,80844.0,131.24025974025975,3408,761415.76,223.42011737089203,0.1807511737089202,,,,,,,,,,,,
2023-06-10,Monday,12396,2717284.89,219.20659002904165,972,130375.23,134.13089506172838,13368,2847660.12,213.02065529622982,0.07271095152603231,,,,,,,,,,,,
2023-06-10,Tuesday,12498,2852557.65,228.24113058089293,731,98141.14,134.25600547195623,13229,2950698.79,223.04775795600574,0.055257389069468595,,,,,,,,,,,,
2023-06-10,Wednesday,10626,2283653.79,214.9118944099379,727,93145.45,128.12303988995873,11353,2376799.24,209.35428873425528,0.06403593763762883,,,,,,,,,,,,
2023-06-10,Thursday,12316,2727200.53,221.4355740500162,673,88964.89,132.19151560178307,12989,2816165.42,216.8115651705289,0.051813072599892214,,,,,,,,,,,,
2023-06-10,Friday,11155,2414690.85,216.4671313312416,646,82606.27,127.87348297213623,11801,2497297.12,211.617415473265,0.05474112363359037,,,,,,,,,,,,
2023-06-10,Saturday,8423,1830068.59,217.2704012822035,617,78265.7,126.84878444084278,9040,1908334.29,211.09892588495575,0.06825221238938053,,,,,,,,,,,,
2023-06-03,Total,53790,11786603.95,219.12258691206543,6441,869618.67,135.01299021891012,60231,12656222.62,210.12805067158106,0.10693828759276784,,,,,,,,,,,,
2023-06-03,Sunday,2536,592806.92,233.75667192429023,685,96240.31,140.49680291970802,3221,689047.23,213.9233871468488,0.21266687364172618,,,,,,,,,,,,
2023-06-03,Monday,5767,1260780.16,218.61976070747355,1342,186560.72,139.0169299552906,7109,1447340.88,203.59275284850187,0.18877479251652834,,,,,,,,,,,,
2023-06-03,Tuesday,9114,1938050.78,212.64546631555848,1334,182083.56,136.4944227886057,10448,2120134.34,202.92250574272586,0.1276799387442573,,,,,,,,,,,,
2023-06-03,Wednesday,10909,2369023.58,217.16230451920433,972,121961.39,125.47468106995885,11881,2490984.97,209.66122127767025,0.08181129534550964,,,,,,,,,,,,
2023-06-03,Thursday,9972,2264010.31,227.03673385479343,793,104715.06,132.04925598991173,10765,2368725.37,220.03951416627962,0.07366465397120298,,,,,,,,,,,,
2023-06-03,Friday,9289,2045696.38,220.22783722682743,698,96770.61,138.6398424068768,9987,2142466.9899999998,214.525582256934,0.06989085811555021,,,,,,,,,,,,
2023-06-03,Saturday,6203,1316235.82,212.1934257617282,617,81287.02,131.74557536466776,6820,1397522.84,204.9153724340176,0.0904692082111437,,,,,,,,,,,,
2023-05-27,Total,51828,11774393.48,227.1820923053176,5959,787153.46,132.09489176036246,57787,12561546.940000001,217.37669268174506,0.1031200789104816,,,,,,,,,,,,
2023-05-27,Sunday,1780,452498.74,254.21277528089888,541,69399.53,128.28009242144176,2321,521898.27,224.85922878069798,0.23308918569582077,,,,,,,,,,,,
2023-05-27,Monday,8534,2007803.86,235.2711342863839,1390,174378.59,125.45222302158272,9924,2182182.45,219.88940447400245,0.14006449012494962,,,,,,,,,,,,
2023-05-27,Tuesday,8708,2064686.95,237.10231396417086,877,107512.16,122.5908323831243,9585,2172199.11,226.62484194053206,0.09149713093375066,,,,,,,,,,,,
2023-05-27,Wednesday,9689,2182176.46,225.22205181133245,774,103126.05,133.23779069767443,10463,2285302.51,218.41751983178818,0.07397495938067476,,,,,,,,,,,,
2023-05-27,Thursday,9978,2263260.25,226.82504008819402,839,116015.76,138.27861740166864,10817,2379276.01,219.95710548211147,0.0775630951280392,,,,,,,,,,,,
2023-05-27,Friday,6299,1344055.35,213.37598825210353,797,115624.38,145.074504391468,7096,1459679.73,205.70458427282975,0.11231679819616686,,,,,,,,,,,,
2023-05-27,Saturday,6840,1459911.87,213.43740789473685,741,101096.99,136.43318488529016,7581,1561008.86,205.91067932990373,0.09774436090225563,,,,,,,,,,,,
2023-05-20,Total,54581,11979553.46,219.482117586706,4678,608019.0,129.97413424540403,59259,12587572.46,212.41621458343883,0.07894159536947974,,,,,,,,,,,,
2023-05-20,Sunday,1800,416045.38,231.13632222222222,466,58215.22,124.92536480686695,2266,474260.6,209.29417475728155,0.205648720211827,,,,,,,,,,,,
2023-05-20,Monday,7196,1585994.16,220.39941078376876,968,123761.85,127.85315082644628,8164,1709756.01,209.42626286134248,0.11856932876041157,,,,,,,,,,,,
2023-05-20,Tuesday,10808,2320724.17,214.7228136565507,739,100513.42,136.01274695534505,11547,2421237.59,209.6854239196328,0.06399930717935394,,,,,,,,,,,,
