FinancialDivision,(Multiple Items)
,
Row Labels,Sum of PurchaseOrderPcs
2025-05-24 00:00:00,31766
2025-05-31 00:00:00,26712
2025-06-07 00:00:00,35948
2025-06-14 00:00:00,37819
2025-06-21 00:00:00,33142
2025-06-28 00:00:00,37032
2025-07-05 00:00:00,54170
2025-07-12 00:00:00,36114
2025-07-19 00:00:00,36533
2025-07-26 00:00:00,36387
2025-08-02 00:00:00,42862
2025-08-09 00:00:00,38397
2025-08-16 00:00:00,38171
2025-08-23 00:00:00,39980
2025-08-30 00:00:00,38920
2025-09-06 00:00:00,40203
2025-09-13 00:00:00,42139
2025-09-20 00:00:00,39896
2025-09-27 00:00:00,39643
2025-10-04 00:00:00,57268
2025-10-11 00:00:00,43147
2025-10-18 00:00:00,44845
2025-10-25 00:00:00,43075
2025-11-01 00:00:00,54322
2025-11-08 00:00:00,47712
2025-11-15 00:00:00,45019
ECR,1446875
2025-03-08 00:00:00,19164
2025-03-15 00:00:00,26819
2025-03-22 00:00:00,67240
2025-03-29 00:00:00,58977
2025-04-05 00:00:00,26859
2025-04-12 00:00:00,42793
2025-04-19 00:00:00,35701
2025-04-26 00:00:00,45141
2025-05-03 00:00:00,60076
2025-05-10 00:00:00,58542
2025-05-17 00:00:00,51082
2025-05-24 00:00:00,42937
2025-05-31 00:00:00,35126
2025-06-07 00:00:00,37406
2025-06-14 00:00:00,33023
2025-06-21 00:00:00,29054
2025-06-28 00:00:00,31816
2025-07-05 00:00:00,34236
2025-07-12 00:00:00,33964
2025-07-19 00:00:00,32113
2025-07-26 00:00:00,33962
2025-08-02 00:00:00,39894
2025-08-09 00:00:00,34221
2025-08-16 00:00:00,32896
2025-08-23 00:00:00,34698
2025-08-30 00:00:00,34818
2025-09-06 00:00:00,36069
2025-09-13 00:00:00,37411
2025-09-20 00:00:00,34849
2025-09-27 00:00:00,35599
2025-10-04 00:00:00,44406
2025-10-11 00:00:00,37279
2025-10-18 00:00:00,37105
2025-10-25 00:00:00,36875
2025-11-01 00:00:00,48784
2025-11-08 00:00:00,43998
2025-11-15 00:00:00,41942
335,1479877
2025-03-08 00:00:00,12270
2025-03-15 00:00:00,60038
2025-03-22 00:00:00,53934
2025-03-29 00:00:00,49203
2025-04-05 00:00:00,69325
2025-04-12 00:00:00,54453
2025-04-19 00:00:00,39016
2025-04-26 00:00:00,29589
2025-05-03 00:00:00,44712
2025-05-10 00:00:00,43222
2025-05-17 00:00:00,33417
2025-05-24 00:00:00,55545
2025-05-31 00:00:00,38532
2025-06-07 00:00:00,34805
2025-06-14 00:00:00,43204
2025-06-21 00:00:00,37781
2025-06-28 00:00:00,35185
2025-07-05 00:00:00,41228
2025-07-12 00:00:00,35629
2025-07-19 00:00:00,36911
2025-07-26 00:00:00,37631
2025-08-02 00:00:00,50086
2025-08-09 00:00:00,39656
2025-08-16 00:00:00,38161
2025-08-23 00:00:00,39130
2025-08-30 00:00:00,36041
2025-09-06 00:00:00,40991
2025-09-13 00:00:00,41812
2025-09-20 00:00:00,39401
2025-09-27 00:00:00,34306
2025-10-04 00:00:00,41806
2025-10-11 00:00:00,31406
2025-10-18 00:00:00,28272
2025-10-25 00:00:00,27900
2025-11-01 00:00:00,39631
2025-11-08 00:00:00,32992
2025-11-15 00:00:00,32656
Grand Total,9205779
