Shipping,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,1,Shipping - Non-Ecomm
Billable Invoice Potential,,,,,,,,,Billable HC Review,,,,,,,,Billable Capacity Review,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,40 Hours,,,,,,,45 Hours,,,,50 Hours,,,,55 Hours,,,,1.0,
Week,Period,CG,UPH,UPH %,PCS FCST,WoW +/-,4 WK FUT AVG,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,OT%,Daily Working Hours,Weekly Working Hours,Total Hours,Capacity (40),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (45),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (50),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (55),Invoice Potential,,
2026-02-14 00:00:00,FEB,46359,27544,0.3727047616470238,73903,-,79936.5,,109.82025000000002,,,,12.7175,,122.53775000000002,,14.49,0.0997,10,40,5101.51,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,47477,29783,0.385490551384934,77260,0.04542440766951274,83792.75,,111.862,,,,15.764750000000001,,127.62675,,14.57,0.119,10,40,5301.07,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,53134,29277,0.35525597311038576,82411,0.06667098110276987,84259.5,,114.29775,,,,17.307499999999997,,131.60524999999998,,15,0.126,10,40,5494.21,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,57112,29060,0.33723251172074453,86172,0.04563711155064251,82446.24758687417,,117.23475,,,,22.07775,,139.3125,,15.05,0.1542,10,40,5727.5,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,58107,31221,0.34950967221923696,89328,0.03662442556746971,81410.75986596146,,116.85650000000001,,,,27.258,,144.11450000000002,,15.11,0.1845,10,40,5910.57,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,52370,26757,0.3381525901399017,79127,-0.11419711624574601,76322.5526325717,,0,,,,0,,0,,0,0,10,40,0,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,43606.89818048505,31551.092167011666,0.41979691076269626,75157.99034749671,-0.0501599915642358,73501.85216350622,,129,0,0,0,0,0.0479,122.8209,,14.8,,10,40,4912.835999999999,72709,,45,5526.9405,81798,,50,6141.045,90887.466,,55,6755.1494999999995,99976.2126,,,
2026-04-04 00:00:00,APR,54894.150728587876,27135.898387761288,0.33080436596194746,82030.04911634915,0.09143483929092745,72592.31829161868,,129,0,0,0,0,0.0479,122.8209,,14.8,,10,40,4912.835999999999,72709,5344246168.956374,45,5526.9405,81798,6012304503.270482,50,6141.045,90887.466,6680397089.447698,55,6755.1494999999995,99976.2126,7348436798.3924675,,
2026-04-11 00:00:00,APR,44611.851313042236,24363.319753398715,0.3532186927079968,68975.17106644095,-0.1591475098520486,70571.86723468505,,129,1,4,0,0,0.0479,122.8209,,14.8,,10,40,4912.835999999999,72709,5278114870.665302,45,5526.9405,81798,5937906451.617825,50,6141.045,90887.466,6597731860.590671,55,6755.1494999999995,99976.2126,7257505046.649737,,
2026-04-18 00:00:00,APR,44218.90864775523,23625.28947598284,0.34822859034893017,67844.19812373807,-0.01639681243578881,70934.04238318432,,132,1,4,0,0,0.0479,125.6772,,14.9,,10,40,5027.088,74903,5286044571.479614,45,5655.474,84266,5946808964.39797,50,6283.86,93629.514,6607609631.256085,55,6912.246,102992.4654,7268370594.381694,,
2026-04-25 00:00:00,APR,41147.86957710432,30371.9852828422,0.42466508555306803,71519.85485994653,0.054177908175797006,70077.60701224618,,135,1,4,0,0,0.0479,128.5335,,14.9,,10,40,5141.34,76605,5433902316.763835,45,5784.0075,86181,6113166706.625208,50,6426.675,95757.4575,6792463548.810971,55,7069.342500000001,105333.20325,7471709903.692069,,
2026-05-02 00:00:00,MAY,48838.31682847885,25109.92806013582,0.33956083877254856,73948.24488861466,0.03395406818740777,69813.25364924972,,138,1,4,0,0,0.0479,131.3898,,14.9,,10,40,5255.592000000001,78308,5487637249.914974,45,5912.541,88096,6173556867.35084,50,6569.490000000001,97885.40100000001,6859574663.514131,55,7226.439,107673.94110000001,7545532129.865543,,
2026-05-09 00:00:00,MAY,42375.92215768746,28047.949502750587,0.3982733246758863,70423.87166043805,-0.047659998333770305,68783.17055216062,,141,1,4,0,0,0.0479,134.2461,,15,,10,40,5369.844000000001,80547,5623248141.686117,45,6041.074500000001,90616,6326197792.680412,50,6712.305,100684.57500000001,7029117773.041907,55,7383.535500000001,110753.03250000002,7732029550.346099,,
2026-05-16 00:00:00,MAY,41137.98326128398,23280.4733787015,0.3613944604231789,64418.45663998548,-0.08527527497222538,67706.5801023029,,144,2,2,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,5658172392.791285,45,6169.607999999999,92544,6365469735.579152,50,6855.119999999999,102826.79999999999,7072753321.732909,55,7540.632,113109.48,7780028653.9062,,
2026-05-23 00:00:00,MAY,47923.994441542156,22538.44696641852,0.3198646898413057,70462.44140796068,0.09382380583491981,68613.05854795761,,144,2,2,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,5569610985.795539,45,6169.607999999999,92544,6265837748.98752,50,6855.119999999999,102826.79999999999,6962050970.86348,55,7540.632,113109.48,7658256067.949828,,
2026-05-30 00:00:00,MAY,45818.060146697,24009.85235356134,0.34384319241209615,69827.91250025833,-0.009005207526497378,70903.53440084458,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,5644178809.213541,45,6169.607999999999,92544,6349726890.262189,50,6855.119999999999,102826.79999999999,7055261248.699127,55,7540.632,113109.48,7760787373.56904,,
2026-06-06 00:00:00,JUN,41638.67713501001,24478.832725997127,0.37023222407281764,66117.50986100714,-0.05313638209129424,69594.21597643754,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,5832595643.347877,45,6169.607999999999,92544,6561696687.591761,50,6855.119999999999,102826.79999999999,7290783551.128765,55,7540.632,113109.48,8019861906.241642,,
2026-06-13 00:00:00,JUN,43988.09025885364,24056.2801637506,0.3535381401039334,68044.37042260425,0.0291429693230699,73146.06807840134,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,5724889800.437729,45,6169.607999999999,92544,6440527123.323436,50,6855.119999999999,102826.79999999999,7156150527.365947,55,7540.632,113109.48,7871765580.102542,,
2026-06-20 00:00:00,JUN,53775.20893712643,25849.135882382197,0.3246386006814457,79624.34481950862,0.17018269586424928,74939.68592624237,,144,2,2,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6017068706.197372,45,6169.607999999999,92544,6769229724.247574,50,6855.119999999999,102826.79999999999,7521376113.084158,55,7540.632,113109.48,8273513724.392574,,
2026-06-27 00:00:00,JUN,43702.73684492767,20887.901957702466,0.32338899792475667,64590.63880263014,-0.18880790857314658,75319.19569936297,,144,2,2,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6164613503.978623,45,6169.607999999999,92544,6935218294.358173,50,6855.119999999999,102826.79999999999,7705808096.800538,55,7540.632,113109.48,8476388906.480593,,
2026-07-04 00:00:00,JUL,45814.924083704755,34509.99418515759,0.4296299943891167,80324.91826886236,0.2435999977382405,77692.30770792316,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6195832357.425298,45,6169.607999999999,92544,6970339646.8018465,50,6855.119999999999,102826.79999999999,7744831872.339255,55,7540.632,113109.48,8519315059.573182,,
2026-07-11 00:00:00,JUL,48645.73211731836,26573.10969665001,0.35327730467282076,75218.84181396836,-0.06356777653732568,78546.57782485845,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6391046924.361467,45,6169.607999999999,92544,7189956924.52204,50,6855.119999999999,102826.79999999999,7988851386.221072,55,7540.632,113109.48,8787736524.84318,,
2026-07-18 00:00:00,JUL,54577.98028271968,26564.40362927134,0.32738012304498876,81142.38391199103,0.0787507751405266,79984.26306581826,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6461320038.450682,45,6169.607999999999,92544,7269014498.223701,50,6855.119999999999,102826.79999999999,8076693248.681154,55,7540.632,113109.48,8884362573.54927,,
2026-07-25 00:00:00,JUL,50181.744965827536,23901.34187104336,0.3226288602643343,74083.08683687089,-0.08699888683054738,79284.41438458349,,144,2,2,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6579585464.057276,45,6169.607999999999,92544,7402063641.163085,50,6855.119999999999,102826.79999999999,8224525821.41628,55,7540.632,113109.48,9046978403.557909,,
2026-08-01 00:00:00,AUG,57046.85396103241,26695.14477557112,0.3187784526081857,83741.99873660353,0.13037944707948423,79950.16815590713,,144,2,2,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6522015211.690223,45,6169.607999999999,92544,7337296844.806894,50,6855.119999999999,102826.79999999999,8152562621.0406885,55,7540.632,113109.48,8967818883.144758,,
2026-08-08 00:00:00,AUG,55605.40056331437,25364.182214493234,0.31325568620127714,80969.5827778076,-0.03310663705933388,78267.41970836488,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6576780782.673077,45,6169.607999999999,92544,7398908361.82027,50,6855.119999999999,102826.79999999999,8221019950.93383,55,7540.632,113109.48,9043121946.027214,,
2026-08-15 00:00:00,AUG,55311.985947894485,23031.00323915745,0.2939765699285301,78342.98918705194,-0.03243926300032233,77815.27958560396,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6438356212.629803,45,6169.607999999999,92544,7243180089.490919,50,6855.119999999999,102826.79999999999,8047988312.868093,55,7540.632,113109.48,8852787144.154902,,
2026-08-22 00:00:00,AUG,52208.34649944685,24537.75542271857,0.31972640705067135,76746.10192216541,-0.020383282300778557,77639.3763851213,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6401162713.991367,45,6169.607999999999,92544,7201337233.970133,50,6855.119999999999,102826.79999999999,8001496190.892981,55,7540.632,113109.48,8801645809.982279,,
2026-08-29 00:00:00,AUG,51830.424370975044,25180.580575459455,0.3269737954072145,77011.00494643449,0.003451680510597644,78086.01361659923,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6386692740.816463,45,6169.607999999999,92544,7185058448.184666,50,6855.119999999999,102826.79999999999,7983408627.67759,55,7540.632,113109.48,8781749490.44535,,
2026-09-05 00:00:00,SEP,54105.504111150134,25055.51817561384,0.31651332248905556,79161.02228676398,0.0279183129972781,79161.02228676398,,144,1,1,0,0,0.0479,137.1024,,15,,10,40,5484.096,82261,6423433566.115069,45,6169.607999999999,92544,7226392044.134559,50,6855.119999999999,102826.79999999999,8029334904.951324,55,7540.632,113109.48,8832268395.446459,,
Ecomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecomm Invoice Potential,,,,,,,,,Ecomm HC Review,,,,,,,,Ecomm Capacity Review,,,,,,,,,,,,,,,,,,,1.0,Ecomm Shipments
,,,,,,,,,,,,,,,,,40 Hours,,,,,,,45 Hours,,,,50 Hours,,,,55 Hours,,,,,
Week,Period,CG,UPH,UPH %,PCS FCST,WoW +/-,4 WK FUT AVG,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,OT%,Daily Working Hours,Weekly Working Hours,Total Hours,Capacity (40),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (45),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (50),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (55),Invoice Potential,,
2026-02-14 00:00:00,FEB,7736,61,0.007823521867384891,7797,-,8101.5,,5.97225,,,,0.02525,,5.9975,,32.5,0.0042,,,239.89,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,9911,61,0.006117127958283193,9972,0.27895344363216623,7801.75,,5.795,,,,1.018,,6.813,,30.92,0.1263,,,322.52,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,8025,68,0.008402322995181021,8093,-0.1884275972723626,7079.75,,5.592499999999999,,,,1.09075,,6.683249999999999,,30.27,0.1632,,,267.33,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,6471,73,0.01115525672371638,6544,-0.1913999752872853,7060.75,,4.23075,,,,0.44575,,4.6765,,30.86,0.0841,,,212.05,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,6513,85,0.01288269172476508,6598,0.008251833740831296,7492.5,,4.156000000000001,,,,0.13325,,4.289250000000001,,32.73,0.0264,,,201.57,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,6999,85,0.011998870694522868,7084,0.07365868444983328,7599.5,,0,,,,0,,0,,0,0,,,0,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,7938.994867970964,78.00513202903548,0.009729965327308904,8017,0.13170525127046867,7499,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,47033728,45,220.50000000000003,7056,52912944,50,245.00000000000003,7840.000000000001,58792160.00000001,55,269.5,8624,64671376,,
2026-04-04 00:00:00,APR,8190.523456777828,80.47654322217194,0.009729965327308904,8271,0.03168267431707621,7143.75,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,44805600,45,220.50000000000003,7056,50406300,50,245.00000000000003,7840.000000000001,56007000.00000001,55,269.5,8624,61607700,,
2026-04-11 00:00:00,APR,6957.637263610328,68.36273638967236,0.009729965327308904,7026,-0.15052593398621691,6960.75,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,43657824,45,220.50000000000003,7056,49115052,50,245.00000000000003,7840.000000000001,54572280.00000001,55,269.5,8624,60029508,,
2026-04-18 00:00:00,APR,6616.984371682922,65.0156283170781,0.009729965327308904,6682,-0.04896100199259892,7169.75,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,44968672,45,220.50000000000003,7056,50589756,50,245.00000000000003,7840.000000000001,56210840.00000001,55,269.5,8624,61831924,,
2026-04-25 00:00:00,APR,6531.82114870107,64.17885129892953,0.009729965327308904,6596,-0.012870398084405866,7448,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,46713856,45,220.50000000000003,7056,52553088,50,245.00000000000003,7840.000000000001,58392320.00000001,55,269.5,8624,64231552,,
2026-05-02 00:00:00,MAY,7465.645791397418,73.35420860258183,0.009729965327308904,7539,0.14296543359611885,8209.25,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,51488416,45,220.50000000000003,7056,57924468,50,245.00000000000003,7840.000000000001,64360520.00000001,55,269.5,8624,70796572,,
2026-05-09 00:00:00,MAY,7785.503012596698,76.4969874033026,0.009729965327308904,7862,0.0428438784984746,9361.5,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,58715328,45,220.50000000000003,7056,66054744,50,245.00000000000003,7840.000000000001,73394160.00000001,55,269.5,8624,80733576,,
2026-05-16 00:00:00,MAY,7719.154920273627,75.8450797263729,0.009729965327308904,7795,-0.008522004578987535,9183.75,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,57600480,45,220.50000000000003,7056,64800540,50,245.00000000000003,7840.000000000001,72000600.00000001,55,269.5,8624,79200660,,
2026-05-23 00:00:00,MAY,9547.193404279415,93.80659572058515,0.009729965327308904,9641,0.23681847338037204,8919.5,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,55943104,45,220.50000000000003,7056,62935992,50,245.00000000000003,7840.000000000001,69928880.00000001,55,269.5,8624,76921768,,
2026-05-30 00:00:00,MAY,12029.800381203851,118.19961879614857,0.009729965327308904,12148,0.2600352660512395,8245.25,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,51714208,45,220.50000000000003,7056,58178484,50,245.00000000000003,7840.000000000001,64642760.00000001,55,269.5,8624,71107036,,
2026-06-06 00:00:00,JUN,7081.421017944414,69.57898205558597,0.009729965327308904,7151,-0.4113434310174514,7547,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,47334784,45,220.50000000000003,7056,53251632,50,245.00000000000003,7840.000000000001,59168480.00000001,55,269.5,8624,65085328,,
2026-06-13 00:00:00,JUN,6672.439493624593,65.5605063754074,0.009729965327308904,6738,-0.05775416025730667,8309,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,52114048,45,220.50000000000003,7056,58628304,50,245.00000000000003,7840.000000000001,65142560.00000001,55,269.5,8624,71656816,,
2026-06-20 00:00:00,JUN,6876.435120767167,67.56487923283304,0.009729965327308904,6944,0.030572870287919263,8852.75,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,55524448,45,220.50000000000003,7056,62465004,50,245.00000000000003,7840.000000000001,69405560.00000001,55,269.5,8624,76346116,,
2026-06-27 00:00:00,JUN,9263.976174363026,91.02382563697479,0.009729965327308904,9355,0.3472062211981567,7919,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,49667968,45,220.50000000000003,7056,55876464,50,245.00000000000003,7840.000000000001,62084960.00000001,55,269.5,8624,68293456,,
2026-07-04 00:00:00,JUL,10099.764083626776,99.23591637322352,0.009729965327308904,10199,0.09021913415285944,6291,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,39457152,45,220.50000000000003,7056,44389296,50,245.00000000000003,7840.000000000001,49321440.00000001,55,269.5,8624,54253584,,
2026-07-11 00:00:00,JUL,8826.276819037696,86.72318096230426,0.009729965327308904,8913,-0.1260907932150211,4481.5,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,28107968,45,220.50000000000003,7056,31621464,50,245.00000000000003,7840.000000000001,35134960.00000001,55,269.5,8624,38648456,,
2026-07-18 00:00:00,JUL,3177.776541264666,31.223458735334273,0.009729965327308904,3209,-0.6399640973858409,3013.75,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,18902240,45,220.50000000000003,7056,21265020,50,245.00000000000003,7840.000000000001,23627800.000000004,55,269.5,8624,25990580,,
2026-07-25 00:00:00,JUL,2815.337708574461,27.662291425539216,0.009729965327308904,2843,-0.11405422249922094,2941.75,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,18450656,45,220.50000000000003,7056,20756988,50,245.00000000000003,7840.000000000001,23063320.000000004,55,269.5,8624,25369652,,
2026-08-01 00:00:00,AUG,2932.189572665838,28.810427334161666,0.009729965327308904,2961,0.04150545198733732,2954.25,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,18529056,45,220.50000000000003,7056,20845188,50,245.00000000000003,7840.000000000001,23161320.000000004,55,269.5,8624,25477452,,
2026-08-08 00:00:00,AUG,3012.4014454743265,29.598554525673688,0.009729965327308904,3042,0.02735562310030395,3122.5,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,19584320,45,220.50000000000003,7056,22032360,50,245.00000000000003,7840.000000000001,24480400.000000004,55,269.5,8624,26928440,,
2026-08-15 00:00:00,AUG,2892.5787712789306,28.42122872106931,0.009729965327308904,2921,-0.03977646285338593,3496,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,21926912,45,220.50000000000003,7056,24667776,50,245.00000000000003,7840.000000000001,27408640.000000004,55,269.5,8624,30149504,,
2026-08-22 00:00:00,AUG,2864.8512103080952,28.14878969190466,0.009729965327308904,2893,-0.009585758301951387,3687.6666666666665,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,23129045.333333332,45,220.50000000000003,7056,26020176,50,245.00000000000003,7840.000000000001,28911306.666666668,55,269.5,8624,31802437.333333332,,
2026-08-29 00:00:00,AUG,3598.6413060005593,35.358693999440554,0.009729965327308904,3634,0.2561354994815071,4085,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,25621120,45,220.50000000000003,7056,28823760,50,245.00000000000003,7840.000000000001,32026400.000000004,55,269.5,8624,35229040,,
2026-09-05 00:00:00,SEP,4491.864877275327,44.13512272467319,0.009729965327308904,4536,0.24821133736929005,4536,,5,0,0,0,0,0.02,4.9,,32,,10,40,196,6272,28449792,45,220.50000000000003,7056,32006016,50,245.00000000000003,7840.000000000001,35562240.00000001,55,269.5,8624,39118464,,
Total Outbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outbound Invoice Potential,,,,,,,,,Outbound HC Review,,,,,,,,Outbound Capacity Review,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,40 Hours,,,,,,,45 Hours,,,,50 Hours,,,,55 Hours,,,,,
Week,Period,CG,UPH,UPH %,PCS FCST,ASP,Invoicing FCST,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,OT%,Daily Working Hours,Weekly Working Hours,Total Hours,Capacity (40),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (45),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (50),Invoice Potential,Weekly Working Hours,Total Hours,Capacity (55),Invoice Potential,,
2026-02-14 00:00:00,FEB,54095,27605,0.3378824969400245,81700,223.30478188494493,18244000.68,,115.79250000000002,,,,12.74275,,128.53525000000002,,15.295615381735123,0.09542629273224247,,,5341.400000000001,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,57388,29844,0.3421221570066031,87232,252.11791567314745,21992750.02,,117.657,,,,16.78275,,134.43975,,15.511799402161252,0.11937392306338121,,,5623.59,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,61159,29345,0.32423981260496776,90504,211.3198422169186,19125291,,119.89025,,,,18.398249999999997,,138.28849999999997,,15.708300211401813,0.1277314745710348,,,5761.54,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,63583,29133,0.3142176107683679,92716,211.41269015056733,19601338.98,,121.4655,,,,22.523500000000002,,143.989,,15.60993677972237,0.1516848919530941,,,5939.55,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,64620,31306,0.3263557325438359,95926,210.02950190772054,20147290,,121.01250000000002,,,,27.39125,,148.40375000000003,,15.694339462119652,0.17925800128923752,,,6112.139999999999,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,59369,26842,0.3113523796267298,86211,209.2120495064435,18036380,,0,,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,51545.89304845601,31629.097299040703,0.3802717279184227,83174.99034749671,221.96,18483683,,134,0,0,0,0,0.046858955223880616,127.7209,,15.459876339737662,,10,40,5108.836,78981,,45,5747.4405,88854,,50,6386.045,98727.466,,55,7024.6495,108600.2126,,,
2026-04-04 00:00:00,APR,63084.6741853657,27216.37493098346,0.3013959992415624,90301.04911634915,217.27,19632185,,134,0,0,0,0,0.046858955223880616,127.7209,,15.459876339737662,,10,40,5108.836,78981,,45,5747.4405,88854,,50,6386.045,98727.466,,55,7024.6495,108600.2126,,,
2026-04-11 00:00:00,APR,51569.48857665256,24431.68248978839,0.321464553071557,76001.17106644095,223.08,16963473,,134,1,4,0,0,0.046858955223880616,127.7209,,15.459876339737662,,10,40,5108.836,78981,,45,5747.4405,88854,,50,6386.045,98727.466,,55,7024.6495,108600.2126,,,
2026-04-18 00:00:00,APR,50835.89301943815,23690.305104299918,0.3178788895814355,74526.19812373807,218.09,16266988,,137,1,4,0,0,0.046881751824817464,130.5772,,15.541689360776614,,10,40,5223.088,81175,,45,5875.974,91322,,50,6528.860000000001,101469.51400000001,,55,7181.746,111616.4654,,,
2026-04-25 00:00:00,APR,47679.69072580539,30436.16413414113,0.38962850997035053,78115.85485994653,229.29,17934652,,140,1,4,0,0,0.04690357142857138,133.4335,,15.527953250120849,,10,40,5337.34,82877,,45,6004.507500000001,93237,,50,6671.675,103597.45750000002,,55,7338.842500000001,113957.20325000002,,,
2026-05-02 00:00:00,MAY,56303.96261987626,25183.2822687384,0.30904569547248234,81487.24488861466,221.21,18035024,,143,1,4,0,0,0.04692447552447543,136.2898,,15.51479288985676,,10,40,5451.592000000001,84580,,45,6133.041000000001,95152,,50,6814.490000000001,105725.40100000001,,55,7495.939,116297.9411,,,
2026-05-09 00:00:00,MAY,50161.42517028416,28124.44649015389,0.3592531563312291,78285.87166043805,229.26,17971810,,146,1,4,0,0,0.04694452054794507,139.14610000000002,,15.598651345600056,,10,40,5565.844000000001,86819,,45,6261.574500000001,97672,,50,6957.305000000001,108524.57500000001,,55,7653.035500000001,119377.0325,,,
2026-05-16 00:00:00,MAY,48857.13818155761,23356.31845842787,0.32343443376307224,72213.45663998548,224.91,16267883,,149,2,2,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-05-23 00:00:00,MAY,57471.18784582157,22632.253562139103,0.2825378431230535,80103.44140796068,223.46,17913500,,149,2,2,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-05-30 00:00:00,MAY,57847.86052790085,24128.051972357487,0.29433099597740314,81975.91250025833,235,19274658,,149,1,1,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-06-06 00:00:00,JUN,48720.09815295442,24548.411708052714,0.3350472359083307,73268.50986100714,227.43,16664433,,149,1,1,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-06-13 00:00:00,JUN,50660.529752478236,24121.84067012601,0.3225605250784451,74782.37042260425,225.73,16905727,,149,1,1,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-06-20 00:00:00,JUN,60651.644057893594,25916.70076161503,0.2993784947101653,86568.34481950862,225.01,19516320,,149,2,2,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-06-27 00:00:00,JUN,52966.7130192907,20978.92578333944,0.28370741159373486,73945.63880263014,228.62,16918146,,149,2,2,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-07-04 00:00:00,JUL,55914.68816733153,34609.23010153082,0.3823213882406083,90523.91826886236,240.14,21735607,,149,1,1,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
2026-07-11 00:00:00,JUL,57472.008936356055,26659.832877612316,0.3168816027653634,84131.84181396836,235.21,19794569,,149,1,1,0,0,0.04696375838926181,142.0024,,15.586609803777966,,10,40,5680.096,88533,,45,6390.108,99600,,50,7100.12,110666.80000000002,,55,7810.132,121733.48000000001,,,
