Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Storage Type,Casegoods,Unnamed: 6,Storage Type.1,Upholstery
,,,,,,,,
Row Labels,Sum of DF% ,,,Row Labels,Sum of Avg DF%,,Row Labels,Sum of Avg DF%
7,,,,7,0.927574,,7,2.717766
8,,,,8,0.859181,,8,3.045516
9,,,,9,0.826327,,9,2.586232
10,,,,10,0.816608,,10,3.190003
11,,,,11,0.830543,,11,3.426071
12,,,,12,0.84619,,12,3.160879
13,,,,13,0.856673,,13,2.948196
14,,,,14,0.864292,,14,2.902053
15,,,,15,0.861434,,15,2.927103
16,,,,16,0.860678,,16,3.444148
17,,,,17,0.8567,,17,3.591606
18,,,,18,0.851319,,18,4.418109
19,,,,19,0.85005,,19,3.917427
20,,,,20,0.856797,,20,3.453799
21,,,,21,0.862674,,21,3.329779
22,,,,22,0.865386,,22,3.243575
23,,,,23,0.868713,,23,3.826207
24,,,,24,0.872883,,24,4.177187
25,,,,25,0.874447,,25,3.527407
26,,,,26,0.870426,,26,3.553935
28,23.479047720000004,,,42,25.572131499999998,,28,22.944717
0,0.9760075900000001,,,0,0.793029,,0,0.938481
1,0.98318561,,,1,1,,1,0.957687
2,0.94359105,,,2,0.9672025,,2,0.937793
3,0.93674299,,,3,1,,3,0.919627
4,0.91142036,,,4,1,,4,0.877885
5,0.84636853,,,5,1,,5,0.760497
6,0.89244484,,,6,1,,6,0.860027
7,0.90956965,,,7,1,,7,0.881409
8,0.86734877,,,8,1,,8,0.880124
9,0.8236578400000001,,,9,0.8829795,,9,0.819483
10,0.79865864,,,10,0.835001,,10,0.770584
11,0.7891023799999999,,,11,0.8127985,,11,0.724285
12,0.80116411,,,12,0.8435414999999999,,12,0.730739
13,0.82198445,,,13,0.863684,,13,0.767728
14,0.83557552,,,14,0.860759,,14,0.79066
15,0.83524862,,,15,0.858575,,15,0.794292
16,0.84006923,,,16,0.8545615,,16,0.807835
17,0.8452675400000002,,,17,1,,17,0.827386
18,0.84765807,,,18,1,,18,0.841932
19,0.8556636599999998,,,19,1,,19,0.864444
20,0.86544603,,,20,1,,20,0.878974
21,0.8712126599999999,,,21,1,,21,0.884568
22,0.87228081,,,22,1,,22,0.883065
23,0.87398619,,,23,1,,23,0.882234
24,0.87750801,,,24,1,,24,0.884742
25,0.87947527,,,25,1,,25,0.88734
26,0.8784093000000002,,,26,1,,26,0.890896
42,25.699098454999998,,,335,26.640464,,42,25.881807
0,0.7577234899999999,,,0,0.640464,,0,0.7069179999999999
1,1,,,1,1,,1,1
2,0.96982773,,,2,1,,2,0.9736055
3,1,,,3,1,,3,1
4,1,,,4,1,,4,1
5,1,,,5,1,,5,1
6,1,,,6,1,,6,1
7,1,,,7,1,,7,1
8,1,,,8,1,,8,1
9,0.8910288249999999,,,9,1,,9,0.902612
10,0.849797695,,,10,1,,10,0.8710905
11,0.8409191699999999,,,11,1,,11,0.8813854999999999
12,0.86684672,,,12,1,,12,0.9003835
13,0.8779401099999999,,,13,1,,13,0.898455
14,0.879664305,,,14,1,,14,0.9068695
15,0.8807676849999999,,,15,1,,15,0.9127035
16,0.8845827249999999,,,16,1,,16,0.9277839999999999
17,1,,,17,1,,17,1
18,1,,,18,1,,18,1
19,1,,,19,1,,19,1
20,1,,,20,1,,20,1
21,1,,,21,1,,21,1
22,1,,,22,1,,22,1
23,1,,,23,1,,23,1
24,1,,,24,1,,24,1
25,1,,,25,1,,25,1
26,1,,,26,1,,26,1
335,26.19347125,,,15A,11.383222,,335,24.852493000000003
0,0.579126625,,,0,4.426803,,0,0.39511450000000004
1,1,,,1,1.404588,,1,1
2,0.9877195000000001,,,2,0.924506,,2,0.950878
3,0.973035375,,,3,0.690217,,3,0.8921415
4,0.93303075,,,4,0.757102,,4,0.732123
5,0.906442,,,5,0.762509,,5,0.625768
6,0.9292545,,,6,0.735196,,6,0.717018
7,0.941457875,,,7,0.682301,,7,0.7658315
8,0.9622437500000001,,,8,1,,8,0.848975
9,0.9811608749999999,,,1A,147.68905199999998,,9,0.9246435
10,1,,,0,124.148192,,10,1
11,1,,,1,1.02596,,11,1
12,1,,,2,2.903688,,12,1
13,1,,,3,1.5,,13,1
14,1,,,4,8.530303,,14,1
15,1,,,5,3.330909,,15,1
16,1,,,6,3.25,,16,1
17,1,,,7,1,,17,1
18,1,,,8,1,,18,1
19,1,,,9,1,,19,1
20,1,,,5A,9.166056999999999,,20,1
21,1,,,0,3.208533,,21,1
22,1,,,1,1.233952,,22,1
23,1,,,2,0.945207,,23,1
24,1,,,3,0.624756,,24,1
25,1,,,4,0.530995,,25,1
26,1,,,5,0.533551,,26,1
15A,,,,6,0.511963,,C,16
0,,,,7,0.5771,,11,1
1,,,,8,1,,12,1
2,,,,ECA,9.419393000000001,,13,1
3,,,,0,3.227097,,14,1
4,,,,1,1.161378,,15,1
5,,,,2,0.926946,,16,1
6,,,,3,0.697387,,17,1
7,,,,4,0.635792,,18,1
8,,,,5,0.586577,,19,1
1A,,,,6,0.576608,,20,1
0,,,,7,0.607608,,21,1
1,,,,8,1,,22,1
2,,,,ECR,25.754422999999996,,23,1
3,,,,0,0.913187,,24,1
4,,,,1,0.992599,,25,1
5,,,,2,0.974593,,26,1
6,,,,3,0.983603,,ECR,23.197166000000003
7,,,,4,0.968208,,0,0.905392
8,,,,5,0.951076,,1,0.993913
9,,,,6,0.967303,,2,0.954877
5A,,,,7,1,,3,0.910596
0,,,,8,1,,4,0.909567
1,,,,9,0.955839,,5,0.812605
2,,,,10,0.86403,,6,0.884505
3,,,,11,0.836481,,7,0.905788
4,,,,12,0.85033,,8,0.886014
