Warehouse,Snapshot Week,Storage Type,Total DF%,Avg DF%,Adj Join,%,DF% ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
5,8,Casegoods,0.790468,0.804601,Casegoods_5_8,62,0.8039417,,,,,,,,,
5,8,Upholstery,0.794494,0.802866,Upholstery_5_8,38,,,,,,,,,,
5,9,Casegoods,0.809588,0.798983,Upholstery_5_9,62,0.8058830399999999,,,,,,,,,
5,9,Upholstery,0.786402,0.817141,Casegoods_5_9,38,,,,,,,,,,
5,10,Casegoods,0.788477,0.802484,Casegoods_5_10,62,0.816278,,,,,,,,,
5,10,Upholstery,0.82643,0.838784,Upholstery_5_10,38,,,,,,,,,,
5,11,Casegoods,0.819317,0.820853,Upholstery_5_11,62,0.8228434400000001,,,,,,,,,
5,11,Upholstery,0.808649,0.826091,Casegoods_5_11,38,,,,,,,,,,
5,12,Casegoods,0.820497,0.814775,Upholstery_5_12,62,0.8191012999999999,,,,,,,,,
5,12,Upholstery,0.801744,0.82616,Casegoods_5_12,38,,,,,,,,,,
5,13,Casegoods,0.831472,0.813863,Upholstery_5_13,62,0.82376884,,,,,,,,,
5,13,Upholstery,0.802932,0.839931,Casegoods_5_13,38,,,,,,,,,,
5,14,Casegoods,0.841876,0.805929,Upholstery_5_14,62,0.8221010400000001,,,,,,,,,
5,14,Upholstery,0.800228,0.848487,Casegoods_5_14,38,,,,,,,,,,
5,15,Casegoods,0.808105,0.810645,Casegoods_5_15,62,0.8305615599999999,,,,,,,,,
5,15,Upholstery,0.855861,0.863057,Upholstery_5_15,38,,,,,,,,,,
5,16,Casegoods,0.82095,0.822585,Casegoods_5_16,62,0.83465874,,,,,,,,,
5,16,Upholstery,0.845023,0.854358,Upholstery_5_16,38,,,,,,,,,,
5,17,Casegoods,1,0.827837,Casegoods_5_17,62,0.8456331600000001,,,,,,,,,
5,17,Upholstery,1,0.874669,Upholstery_5_17,38,,,,,,,,,,
5,18,Casegoods,1,0.834202,Casegoods_5_18,62,0.85607708,,,,,,,,,
5,18,Upholstery,1,0.891768,Upholstery_5_18,38,,,,,,,,,,
5,19,Casegoods,1,0.851641,Upholstery_5_19,62,0.87329872,,,,,,,,,
5,19,Upholstery,1,0.908635,Casegoods_5_19,38,,,,,,,,,,
5,20,Casegoods,1,0.864733,Upholstery_5_20,62,0.890706,,,,,,,,,
5,20,Upholstery,1,0.933083,Casegoods_5_20,38,,,,,,,,,,
5,21,Casegoods,1,0.874992,Upholstery_5_21,62,0.8835682199999999,,,,,,,,,
5,21,Upholstery,1,0.897561,Casegoods_5_21,38,,,,,,,,,,
5,22,Casegoods,1,0.882207,Upholstery_5_22,62,0.8890967799999998,,,,,,,,,
5,22,Upholstery,1,0.900338,Casegoods_5_22,38,,,,,,,,,,
5,23,Casegoods,1,0.887692,Upholstery_5_23,62,0.8905123599999999,,,,,,,,,
5,23,Upholstery,1,0.895114,Casegoods_5_23,38,,,,,,,,,,
5,24,Casegoods,1,0.888819,Casegoods_5_24,62,0.89287892,,,,,,,,,
5,24,Upholstery,1,0.899503,Upholstery_5_24,38,,,,,,,,,,
5,25,Casegoods,1,0.888516,Casegoods_5_25,62,0.89869316,,,,,,,,,
5,25,Upholstery,1,0.915298,Upholstery_5_25,38,,,,,,,,,,
5,26,Casegoods,1,0.889421,Upholstery_5_26,62,0.9022251,,,,,,,,,
5,26,Upholstery,1,0.923116,Casegoods_5_26,38,,,,,,,,,,
15,0,Casegoods,0.979578,0.984449,Casegoods_15_0,58,0.9306175999999999,,,,,,,,,
15,0,Upholstery,0.850242,0.856279,Upholstery_15_0,42,,,,,,,,,,
15,1,Casegoods,1.012475,1,Upholstery_15_1,58,1,,,,,,,,,
15,1,Upholstery,1.021419,1,Casegoods_15_1,42,,,,,,,,,,
15,2,Casegoods,0.912535,0.948368,Upholstery_15_2,58,0.93715358,,,,,,,,,
15,2,Upholstery,0.9307,0.921667,Casegoods_15_2,42,,,,,,,,,,
15,3,Casegoods,0.935527,0.958021,Casegoods_15_3,58,0.93923692,,,,,,,,,
15,3,Upholstery,0.905939,0.913297,Upholstery_15_3,42,,,,,,,,,,
15,4,Casegoods,0.880484,0.880365,Upholstery_15_4,58,0.88596234,,,,,,,,,
15,4,Upholstery,0.865634,0.893692,Casegoods_15_4,42,,,,,,,,,,
15,5,Casegoods,0.839542,0.91956,Upholstery_15_5,58,0.8881822199999999,,,,,,,,,
15,5,Upholstery,0.904926,0.844851,Casegoods_15_5,42,,,,,,,,,,
15,6,Casegoods,0.849789,0.869774,Casegoods_15_6,58,0.8744129,,,,,,,,,
15,6,Upholstery,0.877029,0.880819,Upholstery_15_6,42,,,,,,,,,,
15,7,Casegoods,0.919385,0.936357,Upholstery_15_7,58,0.9308650800000001,,,,,,,,,
15,7,Upholstery,0.925708,0.923281,Casegoods_15_7,42,,,,,,,,,,
15,8,Casegoods,0.948304,0.961242,Casegoods_15_8,58,0.9485924400000001,,,,,,,,,
15,8,Upholstery,0.926323,0.931124,Upholstery_15_8,42,,,,,,,,,,
15,9,Casegoods,0.941585,0.935859,Upholstery_15_9,58,0.9390888000000001,,,,,,,,,
15,9,Upholstery,0.926247,0.943549,Casegoods_15_9,42,,,,,,,,,,
15,10,Casegoods,0.827367,0.843706,Casegoods_15_10,58,0.8487892600000001,,,,,,,,,
15,10,Upholstery,0.853751,0.855809,Upholstery_15_10,42,,,,,,,,,,
15,11,Casegoods,0.815126,0.820368,Upholstery_15_11,58,0.82034406,,,,,,,,,
15,11,Upholstery,0.808858,0.820311,Casegoods_15_11,42,,,,,,,,,,
15,12,Casegoods,0.782936,0.796318,Casegoods_15_12,58,0.77362204,,,,,,,,,
15,12,Upholstery,0.734116,0.74228,Upholstery_15_12,42,,,,,,,,,,
15,13,Casegoods,0.749212,0.832351,Upholstery_15_13,58,0.80113828,,,,,,,,,
15,13,Upholstery,0.818065,0.758035,Casegoods_15_13,42,,,,,,,,,,
15,14,Casegoods,0.800998,0.835251,Upholstery_15_14,58,0.82612608,,,,,,,,,
15,14,Upholstery,0.824433,0.813525,Casegoods_15_14,42,,,,,,,,,,
