Sum of FOBDemandFullfilment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average $'s,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
5  ,9237267.06,6654946.17,9163444.1,8023281.57,9108270.06,8149506.82,9475473.41,9169786.129999999,10282762.89,11474824.24,13095930.96,9528477.01,9067117.99,8600978.120000001,10041126.370000001,11961371.75,11940780.8,9259287.870000001,8658803.61,9587180.45,8907875.39,8707424.24,9081300.959999999,9796947.21,11589936.350000001,9125284,249689385.53,,1348959.88,10586226.940000001,8620586.555,8801539.069999998,8606974.695,8707233.768000001,8614279.276666667,8737307.01,8791366.899999999,8957077.565555554,9208852.233,9562223.026363635,9559410.858333332,9521542.176153846,9455787.600714285,9494810.185333334,8901384.54875,9081383.795882354,9240239.185,9241241.747368421,9212119.8405
ECR,11542193.620000001,7780256.260000001,9412186.719999999,8942348.1,8124464.43,8897392.09,9099976.17,8444330.82,8709591.82,10901575.38,11880299.67,13285289.469999999,11532897.56,10149846.25,10346742.16,12215153.86,11838429.03,10158208.46,9889199.34,11369627.379999999,10168144.43,9638040.29,9718891.24,10083131.33,11081438.49,9782225.8,264991880.17000005,,3263847.8880000003,14806041.508000001,11293148.884000001,10666161.496000001,10235208.147,9813059.403600002,9660448.184666665,9580380.753999999,9438374.51225,9357398.657555556,9511816.329799999,9727132.997090908,10023646.0365,10139742.307538461,10140464.017714288,10154215.893866668,9519577.400500001,9678140.72164706,9798156.738777779,9817106.829368422,9820711.4549
Grand Total,67156855.38000001,42935138.66,57246946.339999996,54599268.84,55620243.370000005,54537561.33,59910077.400000006,54692558.65,55706534.59,63223450.03,77509893.61,63307670.44,64040937.62000001,59062446.870000005,62058766.11999999,70585824.34,69783910.39,58074168.25000001,58149006.370000005,63267216.61,59426366.16,57567545.25,57140564.6,60760326.31,68073600.24000001,58116093.78,1572552971.55,,11047071.092,66873782.291999996,53482399.385000005,50194733.51733333,50351001.2995,49082126.0184,48602820.31333333,49536220.86457143,51171430.08749999,57096408.628,57713735.56819999,59517590.117454536,59837284.811,60164201.95015384,60088811.158714294,60223228.0228,56462170.77137499,57295698.981294125,57992062.94844445,57998823.964315794,58008651.48459999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10494717.5374,10494717.5374,5247358.7687,3498239.1791333333,2623679.38435,2098943.50748,1749119.5895666666,1499245.3624857143,1311839.692175,1166079.7263777778,1049471.75374,954065.2306727272,874559.7947833333,807285.9644153846,749622.6812428571,699647.8358266667,655919.8460875,617336.3257294118,583039.8631888889,552353.5546,524735.87687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11649136.466514,144196180.1214,112166048.53870001,103841590.21379998,103279558.98335001,100217065.54428,98908623.21623333,100525543.09162858,103608548.86717498,115312738.98237777,116430777.89013998,119943073.4655818,120502950.41678333,121089503.86472307,120881051.99867144,121099903.88142666,113534054.38883749,115162520.28831767,116520944.76007779,116503773.48323159,116495803.84606999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIFinanceDivision,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of spdDemandFulfillment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average Units,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,72022,42056,58951,53206,56908,52495,59183,55217,54473,59436,64206,58843,70598,69667,62104,65637,66796,62836,61267,65240,65608,67207,60279,61694,64465,61889,1592283,,9099,4827,11895.006,,5672.033,2262,1908.951,5095,13983.031,57067.77777777778,57304.6,57932,58007.916666666664,58976.38461538462,59740,59897.6,56154,56711.82352941176,57272.055555555555,57564.89473684211,57750
15 ,45900,32462,40618,41653,38215,37945,41825,41852,38367,46745,55689,58987,48107,44148,47002,54447,52322,46760,44462,53173,46839,44717,45482,48455,53538,47168,1196878,,5854,51754,42108,41611.333333333336,41621.75,40940.4,40441.166666666664,40638.857142857145,40790.5,40521.22222222222,41143.6,42465.90909090909,43842.666666666664,44170.692307692305,44169.07142857143,44357.933333333334,41585.5625,42342.117647058825,42896.555555555555,43099.89473684211,43168
17 ,59084,41907,52991,45853,47785,42451,53993,45911,45439,47957,64607,50513,76556,52967,54862,61088,59803,51499,53904,61329,60325,51784,50836,53330,57104,53674,1397552,,10109.001,69193.001,55550.0005,54697.00033333333,52486.00025,51545.8002,50030.000166666665,50596.143,50010.500125,49502.55566666667,49348.0001,50735.18190909091,50716.666750000004,52704.30776923077,52723.071500000005,52865.66673333334,49561.5625625,50239.58829411765,50770.88894444445,50809.21057894737,50963.95005
19 ,27,46,554,176,147,142,183,169,193,159,205,179,186,197,171,229,169,182,160,149,164,156,147,147,144,163,4544,,,27,36.5,209,200.75,190,182,182.14285714285714,180.5,181.88888888888889,179.6,181.9090909090909,181.66666666666666,182,183.07142857142858,182.26666666666668,170.875,174.2941176470588,174,174.42105263157896,173.7
28 ,33341,23843,28728,28459,23662,28174,29416,27530,29164,31073,49259,30644,32591,29742,30301,37314,35209,30295,31541,34867,29946,30464,29891,30681,33128,30123,809386,,4270.009,37611.009,30727.0045,30060.66966666667,29660.25225,28460.601799999997,28412.83483333333,28556.14414285714,28427.876125,28509.667666666664,28766.000900000003,30629.00081818182,30630.250750000003,30781.077615384616,30706.85778571429,30679.800600000002,28762.3130625,29265.353470588238,29595.556055555553,29632.36889473684,29727.80045
335,75493,27537,36277,46488,47998,48656,48548,35890,35390,31083,33744,31411,31122,30768,30070,29981,30359,30066,29484,29109,30399,29451,29218,30772,31518,32622,923454,,2183,77676,52606.5,47163.333333333336,46994.5,47195.2,47438.666666666664,47597.142857142855,46133.75,44940,43554.3,42662.454545454544,41724.833333333336,40909.230769230766,40184.857142857145,39510.53333333333,37041.125,36625.82352941176,36277.666666666664,35950.73684210526,35627.4
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5  ,55062,35777,51368,41488,48499,44376,51189,47909,55674,59447,61578,49762,50851,46306,51017,57932,59998,50696,45364,51938,47846,46683,47616,50382,57217,49413,1315388,,6437,61499,48638,49548,47533,47726.2,47167.833333333336,47742.28571428572,47763.125,48642.11111111111,49722.6,50800.36363636364,50713.833333333336,50724.38461538462,50408.78571428572,50449.333333333336,47296.25,47921.882352941175,48592.77777777778,48703.47368421053,48536.5
ECR,73350,45466,54067,51416,45606,51290,53249,47367,50188,59136,63072,78317,65793,55032,57092,65259,62829,59349,55192,67185,58207,55327,55347,57260,60045,57008,1503449,,14294.007,87644.007,66555.0035,62392.33566666667,59648.25175,56839.8014,55914.8345,55534.001,54513.125875,54032.556333333334,54542.9007,55318.27336363636,57234.83391666666,57893.15438461538,57688.78621428571,57649.000466666665,54045.9379375,54705.52982352941,55156.83372222222,55377.47405263158,55368.20035
Grand Total,414279,249094,323554,308739,308820,305529,337586,301845,308888,335036,392360,358656,375804,328827,332619,371887,367485,331683,321374,362990,339334,325789,318816,332721,357159,332060,8742934,,52246.017,466525.017,357809.5085,346391.00566666666,336978.00425,331346.4034,327043.50283333333,328549.5738571429,325211.502125,323397.77966666664,324561.6017,330725.09245454543,333052.66808333335,336341.2320769231,335804.50121428573,335592.13446666667,314617.6260625,317986.4127647059,320736.33427777776,321312.47457894735,321315.55085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average ASP,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,145.81275735192025,150.51277487159976,158.28663856423128,162.20606792467015,159.2945011246222,162.62756300600057,157.59043019110217,162.33309922668744,162.18365685752573,170.6643322228952,179.7077598666791,158.82514844586444,152.21689580441372,160.6131908938235,170.98964929795181,169.65114219114218,170.70064420025153,155.3448795276593,164.4275538217964,161.34164301042304,156.55971238263626,158.35932983171398,160.3500154282586,163.8893992932862,171.1833000853176,157.0178167364152,161.68331703597914,,,145.81275735192025,148.16276611176,151.53739026258376,154.20455967810534,155.22254796740873,156.45671714050738,156.6186761477352,157.33297903260421,157.87194323537327,159.15118213412546,161.01996192799396,160.83706080448317,160.1739711890932,160.2053440251454,160.92429770999917,150.8665291031242,151.97150634359585,153.01201400229897,153.13479639837055,153.69943426954185
15 ,169.69939455337692,172.30001663483458,189.22109286523215,187.3264293088133,196.25168781891927,189.99546448807484,185.44545774058577,191.25511588454552,195.55358172387727,203.77849374264625,215.2985467507048,174.80263973417874,181.5354397488931,188.7385510102383,196.77880005106167,199.82210112586554,205.31032051527083,184.7373351154833,190.55766902073682,178.42772666578904,184.52683447554386,185.75238522262228,189.25816344927662,194.4133643586833,206.3126601666106,184.51247943521028,190.43799539301412,,,169.69939455337692,170.99970559410576,177.07350135114788,179.63673334056423,182.95972423623525,184.13234761154186,184.31993477283388,185.18683241179784,186.33869344647331,188.08267347609063,190.55684377378282,189.24399343714913,188.65102776882173,188.65727942892292,189.1987141370655,177.3737945034989,178.694283128344,180.17295187206216,180.41318256908434,180.92040689166694
17 ,168.31090616749034,173.59450736153863,181.17358306127454,182.45163653414173,187.42777356911165,184.28771972391698,179.84461670957347,182.79745638300187,187.2879290917494,195.57816502283296,198.08684059002894,179.46497693663017,164.15904357594442,185.6831332716597,191.947922970362,190.11287552383448,188.6995779475946,180.93200450494186,183.36067082220242,175.93983727111154,173.56641060920018,179.27805577012205,181.08327838539617,185.14014719669981,192.25754693191368,175.6170922606849,182.37748152483772,,,168.31090616749034,170.9527067645145,174.35966553010118,176.3826582811113,178.59168133871137,179.54102106957896,179.58439187529248,179.98602493875615,180.79734762242208,182.27542936246317,183.71283038315096,183.3588425959409,181.8819349790181,182.15344914277821,182.80641406461712,171.38101318557855,172.4828874407701,173.38381469114924,173.78108783924358,174.26006698839151
19 ,212.6851851851852,226.1195652173913,80.22563176895306,102.23011363636364,108.37414965986395,109.40492957746478,133.44535519125682,121.44082840236686,142.37046632124353,121.11320754716981,141.05121951219513,118.51396648044692,122.88709677419355,133.05583756345177,121.57894736842105,147.6288209606987,115.9319526627219,119.28296703296704,118.796875,110.40604026845638,109.71951219512195,109.51923076923077,108.55102040816327,109.28571428571429,107.36458333333333,106.43558282208589,117.11982834507042,,,212.6851851851852,219.40237520128824,173.01012739050984,155.31512395197328,145.92692909355142,139.83992917420366,138.92641860521124,136.7407198298557,137.36624721778767,135.7409432507259,136.2236956381322,134.74788487499174,133.83551655954574,133.7798252026819,132.9664333470645,124.65603126287297,126.00737183333331,125.44762632385489,125.1231705717029,124.80685579311776
28 ,170.7762364656129,178.73637168141596,189.81793720412142,188.43659193928107,191.15370636463527,188.16831511322496,187.31199789230354,181.52149763893934,185.0863242353587,195.35522511505167,198.37786536470492,194.46782600182746,178.76947684943696,183.48494586779637,192.813365895515,199.59711984777832,201.48362293731716,181.7907898993233,186.03192035762976,179.06065047179283,183.40184365190677,185.7741429227941,186.62742932655314,193.47625729278707,202.57333071721808,183.15876174351823,188.392950508163,,,170.7762364656129,174.75630407351443,179.77684845038343,181.94178432260782,183.7841687310133,184.51485979471525,184.91445095151357,184.4903317874418,184.55655317054368,185.63642036499445,186.79473354678632,187.43415791803977,186.76764398968572,186.5331655524079,186.9518455752817,175.2673552268266,176.69851785158846,178.07546813412895,178.27101138492867,178.6590568335637
335,164.81516829374908,182.6607836728765,180.72810596245554,160.340969712614,173.49416642360097,176.83251808615586,185.52682911757435,186.68881303984398,182.00717716869173,183.66784094199403,189.87015469416787,184.37082550698798,178.17285200179936,177.8228679147166,179.8764383106086,176.74538874620592,179.91052076814125,179.94493780349896,179.21352258852258,180.2524992270432,179.4527780519096,180.39090353468472,180.2589841878294,179.49179448849603,178.19474585950886,178.62520691557845,178.24194653983847,,,164.81516829374908,173.7379759833128,176.0680193096937,172.13625691042378,172.40783881305921,173.1452853585753,174.9140773241466,176.3859192886088,177.01050349750687,177.6762372419556,178.78477519215673,179.25027938505932,179.1674003555778,179.0713623240877,179.12503405652242,167.92971942798977,168.44828821141425,169.0850789090102,169.65665042977275,170.13449403771025
42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5  ,167.76119755911517,186.01185594096765,178.3881813580439,193.38800544735827,187.80325491247243,183.64671939787274,185.10760925198772,191.4000736813542,184.6959602327837,193.02612814776188,212.67223618824906,191.48098971102448,178.3075650429687,185.74219582775453,196.81922437618834,206.47261875992544,199.0196473215774,182.6433618036926,190.87390022925666,184.58894162270397,186.17805856288928,186.52237945290577,190.7195262096774,194.45332082886748,202.56106314556865,184.67374982292108,189.82185144611324,,,167.76119755911517,176.8865267500414,177.38707828604223,181.38731007637125,182.6704990435915,182.83320243597169,183.15811769540255,184.1883621936465,184.24476197577283,185.12289859297175,187.62738382890603,187.94851765241592,187.20690591322767,187.1022837642653,187.75007980506015,176.0156998172439,177.80728328446045,178.98574795318916,179.17825394532093,179.76303625951772
ECR,157.35778623040218,171.12251484625875,174.0837612591784,173.92150497899485,178.14463952111564,173.47225755507895,170.89478055925932,178.2745544366331,173.53932852474696,184.34752739448052,188.36091562024353,169.63481070521087,175.29064733330296,184.43535125018172,181.22928186085616,187.17960526517413,188.42300577758678,171.16056647963742,179.17812980142048,169.22865788494454,174.68937464566116,174.20138973737957,175.59924187399497,176.09380597275586,184.55222732950287,171.59391313499862,176.25598219161412,,,157.35778623040218,164.24015053833045,167.52135411194644,169.12139182870854,170.92604136718995,171.3504107318381,171.28532070718398,172.15897492336512,172.31234754574086,173.51586553061483,174.8654155387629,174.4295318026336,174.4957714588389,175.2057414439348,175.6073108050629,164.63185387974647,165.95819219653634,167.20623739548358,167.41435997886012,168.00254846998814
Grand Total,162.10538159066718,172.365206147077,176.9316600629261,176.84603772118197,180.10570354899295,178.50207780603478,177.4661194480814,181.1941845980553,180.34541513428817,188.70643760670495,197.54789889387297,176.51362430852961,170.4104735979394,179.61556341176365,186.57613100875173,189.80449529023602,189.89594239220648,175.08937223192027,180.9387391948322,174.29465442574175,175.1264717358119,176.7019305440024,179.2274057763726,182.61644534008974,190.5974656665519,175.01684569053785,179.8655887771771,,,162.10538159066718,167.23529386887208,170.46741593355674,172.06207138046307,173.67079781416905,174.47601114614667,174.90316947499448,175.68954636537708,176.20686511747832,177.45682236640098,179.28328386889845,179.05247890553437,178.3877092664886,178.47541313400825,179.01546099232448,167.8269946803042,169.1197888338296,170.27401958707276,170.52745919995948,171.0480231997031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
