Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 ,30683,17858,18824,19098,18916,22615,22324,18743,18303,17823,19738,23206,25178,18344,20931,19729,21182,20755,19152,21965,19966,19546,19468,20074,20441,21206,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 ,16083,9842,11473,12313,10197,14685,13066,11067,13499,11856,12236,15510,16420,11206,12119,13517,12750,11900,10972,13324,12149,11966,11854,12046,11888,12323,
335,34965,19109,28189,19961,23519,22270,26852,22975,18568,18578,19643,21481,19688,18979,19606,17593,19145,19844,18221,19212,19529,19547,18868,19760,20320,20973,
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5  ,23260,18665,22512,18176,22647,22652,20329,23475,19350,18904,19962,21497,21539,21242,19951,19474,20460,19319,18203,20227,19924,19291,19269,19907,19851,20705,
ECR,56053,33749,37875,35605,35153,44606,35738,34242,31844,33242,56179,39309,41214,38171,37855,39966,39755,36075,34939,38071,37680,36392,36649,37183,37748,38816,
Grand Total,228055,140100,161398,147469,153059,181335,162750,158239,142385,140461,174073,171869,178829,155225,152534,168957,163548,155534,146058,160516,155673,150624,150134,154767,155781,161949,
CG%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,
1  ,0.6356695880883664,0.6197282720815773,0.6986040007584376,0.678535446928443,0.6821211104185645,0.6103714900296494,0.6909543045275177,0.6407468436687709,0.6765655662369278,0.7174621568769465,0.7056690040225969,0.6649527640916693,0.6774394749215549,0.7006215052898347,0.7162925884062651,0.6176786117593916,0.6831183972346366,0.6847043183576511,0.6889351175081525,0.6917758832760741,0.6977347655003722,0.7162405550286146,0.6915346404029048,0.6873217468805705,0.7001129477182388,0.6811843046612734,
15 ,0.6407661273435428,0.6828785998275028,0.7037441308453315,0.7087459588225286,0.7034514496088358,0.6436920049534344,0.6993679352551668,0.71372294889067,0.7217811723982241,0.7371516881396559,0.7402105431055108,0.7353703842222056,0.6942648501991572,0.7158632096122975,0.728871382935831,0.7508895324782788,0.7306725505530108,0.7140893680706148,0.7243491577335375,0.7401277786283981,0.7221331442138694,0.7213001048471651,0.7260739771076452,0.7317165249694205,0.7468612242620389,0.7124214596423393,
17 ,0.6581928771151982,0.7011963523801557,0.7378820580658637,0.7059629566904282,0.7164060508837948,0.6524298404696769,0.7074832606103489,0.7101030098679123,0.7128580841517367,0.7290513833992095,0.765984942794475,0.685210054395746,0.7525114514321662,0.7427605839211342,0.7238399324475875,0.7558805696821214,0.7384453911218127,0.7127494671575276,0.7378449408672799,0.7362955314908637,0.7513295388026056,0.7259778494322164,0.7230883022303141,0.7265271647321672,0.7363982203881617,0.7168002136752136,
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
28 ,0.6745912916801554,0.7078224729107911,0.7146090893261362,0.6980035318355734,0.6988393041731888,0.657364847523274,0.6924344428228426,0.713267870559888,0.6835899960152826,0.7238230566749749,0.8010244735344337,0.6639511201629328,0.664973169288527,0.7263358405782944,0.7143092880716643,0.7340795970962601,0.734147918013303,0.7179760635146344,0.7419142379977889,0.7235168392438422,0.7113909015322485,0.7179825595097808,0.716037848844173,0.7180705408757928,0.7359161187133464,0.7096781793337417,
335,0.6834543446377809,0.5903400077177036,0.5627307417863681,0.6996042077382655,0.6711411272844219,0.6860107717903167,0.6438726790450928,0.6097001613862227,0.6558804996478743,0.6259036265882685,0.6320639856144754,0.5938705286243666,0.6125172210194844,0.6184895571592257,0.6053224897334729,0.6301971665195275,0.6132635746606335,0.6024043277900221,0.618048422597212,0.6024088905444838,0.6088567537253645,0.6010653496061064,0.6076196814041509,0.608960658592575,0.6080095682703808,0.6086761824797089,
42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5  ,0.7029939355250558,0.6571580764850666,0.695242606753739,0.6953257244372937,0.6816444132115249,0.6620220494994853,0.7156598207669831,0.67107898754745,0.7420231907237105,0.7586880224618723,0.7551228126111322,0.6982376382106976,0.702400685120725,0.6854360021907426,0.7188023952095809,0.7483497603761642,0.7456038971529408,0.7239389958302394,0.7135621480479442,0.7195921138312759,0.7058181389036408,0.7074253674799212,0.710548699506066,0.7164166370423036,0.7420852625708468,0.7043203101614949,
ECR,0.5668250840384839,0.5739352167436693,0.5880043501903208,0.5907712105892086,0.564668301017755,0.5348056389723056,0.5982966483522657,0.5803285919064947,0.6116459892266068,0.6400554160533379,0.528834705616018,0.665734444066644,0.6147614509166339,0.5903644185073538,0.6012089046144774,0.6200792451754511,0.6123505160667817,0.6218070951113719,0.6122308622391818,0.6381250890440233,0.6068349336419271,0.6030387914591213,0.5999609760327801,0.6055926897368644,0.6135304696121306,0.5944153650449399,
Grand Total,0.6449528287199925,0.6400137718042862,0.6671601659477249,0.6767178835236614,0.6685964065270528,0.6275216582251962,0.6746754388769866,0.6560250547692735,0.6844253395670382,0.7045513331412674,0.6926465006664136,0.6759977231518515,0.6775345073774394,0.6792767370952149,0.6855508723476612,0.6875578916619367,0.6919605029769639,0.6806993276800447,0.6874766027265979,0.6933005836873147,0.6854166119613717,0.6837426203463322,0.6792655437047517,0.6822694948202466,0.6958420031328174,0.6719006090528318,
UPH%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,
1  ,0.3643304119116336,0.3802717279184227,0.3013959992415624,0.321464553071557,0.3178788895814355,0.38962850997035053,0.30904569547248234,0.3592531563312291,0.32343443376307224,0.2825378431230535,0.29433099597740314,0.3350472359083307,0.3225605250784451,0.2993784947101653,0.28370741159373486,0.3823213882406083,0.3168816027653634,0.3152956816423489,0.3110648824918475,0.30822411672392586,0.3022652344996278,0.28375944497138533,0.30846535959709526,0.3126782531194296,0.2998870522817611,0.31881569533872656,
15 ,0.3592199126101099,0.3170372551906936,0.29613458772978496,0.29111791730474734,0.29649332719742294,0.35618924833330506,0.3004815731389205,0.28612356963795427,0.27804951463616523,0.2625959976660937,0.25965653826727275,0.26450494926072754,0.3055908329965941,0.283990854696697,0.2709735446453494,0.24894497310715763,0.2691179756451793,0.28566628997281696,0.27545534521520965,0.25957991731971103,0.2775585088341402,0.27834502782482456,0.27359077920212,0.2677549417858383,0.24998604988560907,0.28637022716288063,
17 ,0.34180712288480175,0.2988036476198444,0.26211794193413634,0.2940370433095718,0.28359394911620517,0.34757015953032305,0.29251673938965106,0.28989699013208775,0.2871419158482633,0.2709486166007905,0.23401505720552493,0.314789945604254,0.24748854856783375,0.2572394160788658,0.2761600675524125,0.24411943031787867,0.2615546088781873,0.2872505328424724,0.2621550591327201,0.2637044685091363,0.24867046119739447,0.27402215056778356,0.27691169776968594,0.27347283526783284,0.2636017796118383,0.2831997863247863,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28 ,0.3254087083198446,0.29217752708920885,0.28539091067386385,0.30199646816442655,0.3011606958268112,0.342635152476726,0.3075655571771574,0.28673212944011195,0.3164100039847174,0.276176943325025,0.1989755264655663,0.3360488798370672,0.33502683071147293,0.2736641594217056,0.28569071192833567,0.26592040290373986,0.26585208198669696,0.28202393648536556,0.25808576200221106,0.2764831607561578,0.2886090984677515,0.2820174404902192,0.28396215115582707,0.2819294591242072,0.2640838812866536,0.2903218206662583,
335,0.3165456553622191,0.40965999228229644,0.437269258213632,0.3003957922617346,0.3288588727155781,0.31398922820968334,0.3561273209549072,0.39029983861377726,0.34411950035212574,0.3740963734117315,0.3679360143855246,0.4061294713756334,0.38748277898051564,0.38151044284077434,0.3946775102665271,0.36980283348047255,0.38673642533936653,0.39759567220997794,0.38195157740278796,0.39759110945551623,0.3911432462746355,0.39893465039389364,0.3923803185958491,0.391039341407425,0.39199043172961917,0.39132381752029105,
42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5  ,0.2969677625279285,0.3428419235149333,0.30468972051160587,0.304623996513986,0.3182993675333802,0.3379331950888395,0.2842143526220868,0.3288229608774215,0.2578968412634946,0.24126092782847297,0.24479134732117674,0.30163607790312624,0.2975164373722305,0.3144307769735187,0.28109897851356114,0.2515598155348585,0.2542594042426276,0.27587536414005825,0.28632774404630823,0.2802416282195159,0.2939163273735764,0.2923321715411426,0.28754122334472415,0.2830714539637398,0.257460799190693,0.29512379377681486,
ECR,0.4331594606081682,0.42602691307531115,0.41190864600326266,0.40910239911756596,0.435245028848773,0.46511094427761096,0.40154605004438154,0.41952438710625944,0.3880858946547396,0.3597930556758161,0.47103952509516545,0.3341465487929276,0.3850983909850311,0.409485394295032,0.39863313746551254,0.37974972207177676,0.3874643041626463,0.37796240806319803,0.3875694683246625,0.3615994681103671,0.39283145153723453,0.39665602145029266,0.3972748262891459,0.3932545054573145,0.3857031920546042,0.4047296310971159,
Grand Total,0.3550378304324812,0.3599682426304146,0.33279859455803634,0.32323389518444645,0.33137328342278405,0.3724413718313678,0.3252606081923704,0.34391409048231736,0.3154926768739891,0.2953771678397413,0.3072970086413106,0.32394007818183873,0.3224096029307833,0.3206571586749407,0.31438317342869215,0.312373701424158,0.30795476370702607,0.31919600712544227,0.31244424763995043,0.30658099807474865,0.3144419958915482,0.3161188635805565,0.3198736987433792,0.31736140160929155,0.3035033782993945,0.3276926812488618,
Delta Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,2026-09-19 00:00:00
1  ,88022.80551612376,83174.99034749671,90301.04911634915,76001.17106644095,74526.19812373807,78115.85485994653,81487.24488861466,78285.87166043805,72213.45663998548,80103.44140796068,81975.91250025833,73268.50986100714,74782.37042260425,86568.34481950862,73945.63880263014,90523.91826886236,84131.84181396836,84351.38391199103,76926.08683687089,86702.99873660353,84011.5827778076,81263.98918705194,79639.10192216541,80645.00494643449,83697.02228676398,82634.84185258033,77280.45889242047
15 ,53856.09923715202,51241.97366587094,55144.41398766415,56934.924184952426,50682.467674068364,52893.083802564855,54042.14713928777,52172.6684338352,49069.241432709394,53891.00830160947,59789.349790424465,51825.8656295202,59309.231142822784,48901.878251400136,54389.84654415575,59280.06755767567,61448.70918478671,56308.139482197264,53712.86113159685,56636.05514438133,56293.75441507325,54706.95459699213,54944.31417684808,58392.68752237994,62583.975720995986,57676.91750776255,53881.05173267659
17 ,64894.277474309245,62252.73113889505,69777.85633326754,61896.952683196294,62080.1355985474,61892.862456408126,70140.46888462757,61837.48295210083,60487.60793642513,64467.27496239749,76522.19201047755,61295.50731490981,67676.72754627971,68681.2287606502,64119.03600353362,68197.10017098198,67025.41030655986,65771.01291210914,63616.712559850894,74411.49762696598,66254.24585150529,67031.5494538158,64465.3177217677,67393.90906756306,71872.07381785953,68538.88504782983,64131.53526670436
19,13.390767232174898,224.17136255344644,53.214861072037436,122.78203197732117,61.50753589552554,45.81217021495861,135.81185047784825,63.2456883999061,71.75861092383985,86.08694194974022,110.25421698858807,137.78290487177588,116.09568582600654,148.28760376602307,161.49554171420914,117.71455354023995,90.32674370408988,74.37904026075233,52.836693375059696,71.16629963945195,56.14214037052936,42.67590361667893,42.511050184223606,33.702078927548456,29.90450658799304,30.625519694695345,24.86799968623191
28 ,37988.68104112357,36781.9347390322,42888.419141559156,38810.18370203839,33820.488687861536,38631.71037997173,43172.59610403253,34480.39641376012,35993.52412109046,35702.364987865054,42732.73025250587,37812.83391247053,43804.447382645005,34981.679612682965,36350.53937534383,43665.83484161301,42987.45626351704,37763.889440316496,34673.870586383404,43361.58096579632,36834.25243231187,38894.43051471118,37926.709216823096,38513.94627797518,40507.42221960118,38092.368169467445,35697.664891003216
335,94884.247809789,98566.81286040158,62747.9069263253,57188.84832712819,88670.70726579815,73608.70375037794,87320.28104542263,70383.71815475359,72541.46238982848,64150.27711593547,74257.23625146701,63911.23172054639,59756.7217647717,56426.31792105543,60927.03597515137,55505.26585118681,60613.19595010841,60562.27414442313,58392.88985360072,58295.124052967534,60564.30719585707,58931.82902263289,57878.404838492876,60890.346484240785,62610.0203845854,63919.979785314354,58269.74931408574
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5  ,65650.93708238831,63941.03715710172,73435.76836045746,58526.917752880785,65057.27076080478,61340.76575914141,69933.34033477986,57234.9284243692,64253.74082867897,63733.968020698594,67914.99825579692,60664.13877540105,59777.374757979276,58546.404821940814,59400.53234431467,67372.51779458784,65908.94459726819,57870.895302997764,56772.35643173111,61390.10288235821,58685.30699581664,59014.868936525105,58384.00265039389,60650.53090782554,66462.223392379,59971.84333503524,56156.591986974134
ECR,89610.33838927669,87721.94618814414,92435.47673717067,84740.73075218564,77399.11466821047,85047.07008574855,82280.35612047724,79491.65798367787,75492.81294415744,79352.38455009341,88514.48030748877,86211.00553466515,90173.90460534734,77787.9384781284,77667.44110093024,85703.32971258867,89193.13770169915,81177.67980002433,76361.45609184397,84127.81103133013,82546.97772589055,80254.70888371416,80348.5366070837,83964.44548885452,85998.1788791214,83609.36663297535,79120.91577256423
