Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECR,50793.387588218735,50346.714198669004,54352.46243337256,50062.384092682885,43704.826579976805,45483.65265993121,49228.06129211237,46131.281945980445,46174.87625272837,50789.9235080345,46809.52913616565,57393.63584204667,55435.44043000147,45923.23106652608,46694.357188499715,53142.855997204795,54617.463901250994,50476.85726433422,46750.84010494905,53684.06690544631,50092.38975063243,48396.70265413859,48205.9864455915,50848.254385859735,52762.50307349537,49698.69218831626,
Grand Total,307989.5468965316,298495.7318181236,326360.5809879575,294085.6900475919,298462.92228623293,282247.3650803578,325577.1404651634,282672.8637141469,292921.0477382415,311544.4639013868,340089.0848449624,294106.15533952165,309108.54567207815,294265.9439387772,292459.62258828635,325966.245867324,327847.94031865476,302917.9772430892,289806.73924219847,324202.21181281586,306190.5045123319,302142.61822715437,295800.2200094323,308949.74326876545,331844.50438978267,306868.06850216066,
UPH Delta % applied,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,
1  ,32069.384991306986,31629.097299040703,27216.37493098346,24431.68248978839,23690.305104299918,30436.16413414113,25183.2822687384,28124.44649015389,23356.31845842787,22632.253562139103,24128.051972357487,24548.411708052714,24121.84067012601,25916.70076161503,20978.92578333944,34609.23010153082,26659.832877612316,26595.627088006673,23929.0041624689,26723.955202905283,25393.780769018907,23059.424467878518,24565.904212410474,25215.939269458897,25099.653298338515,26345.2845644361,
15 ,19346.183261491155,16245.614681581525,16330.16830183751,16574.77655062704,15027.013471260363,18839.947761666088,16238.6693882182,14927.830129826343,13643.678763929656,14151.563090192878,15524.695591832706,13708.197958729525,18124.357349322756,13887.686200888942,14738.20951078649,14757.474823936058,16536.952221819138,16085.337301151187,14795.494705500627,14701.582511693101,15624.810532123027,15227.40879951119,15032.257728369954,15634.930648273488,15645.120876628649,16516.951968752688,
17 ,22181.326275181644,18601.34313859931,18290.02809465193,18199.996956839506,17605.55081606157,21512.112077762114,20517.261257392533,17926.50018515832,17368.527627943728,17467.31896708438,17907.345140824065,19295.209413445613,16749.2150722495,17667.519181968662,17707.117314131414,16648.237243071428,17530.80497763229,18892.758504592482,16677.443042956966,19622.64443268792,16475.47387217938,18368.129337225342,17851.200577596916,18430.403392488977,18945.60656278118,19410.1976004845,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28 ,12361.84762836659,10746.854733607093,12239.964996171942,11720.538406828182,10185.401906439178,13236.581976478332,13278.403575521139,9886.637487656639,11388.711110578253,9860.170031822965,8502.767499303387,12706.96047975079,14675.665177675031,9573.231946364298,10385.011473120978,11611.636394209894,11428.30474696808,10650.320756956187,8948.832311852813,11988.746960807415,10630.700387223113,10968.907743083526,10769.74993547062,10858.216042888314,10697.357280669514,11059.045680449213,
335,30035.19640650086,40378.87979568267,27437.730716132282,17179.289401763846,29160.1488343234,23112.340080096394,31097.137753735922,27470.75383683791,24962.931792400297,23998.38602242905,27321.911545649065,25956.234753631117,23154.7006121792,21527.22953793618,24046.530866591867,20526.004584855793,23441.330730139496,24079.29809901688,22303.256388690046,23177.62304806631,23689.319724961802,23509.948608216768,22710.34693034737,23810.520987267435,24542.528921153887,25013.410505409047,
42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5  ,19496.211893218668,21921.668170480574,22375.123737302813,17828.7035895279,20707.68813661203,20729.08096218274,19876.059049949527,18820.158630108373,16570.83679907954,15376.516258863969,16625.003926351896,18298.492889582933,17784.751573458692,18408.79155716901,16697.428965148603,16948.218148525488,16757.96898756176,15965.154314825695,16255.500741290487,17204.062388315662,17248.569903001277,17251.944789430305,16787.807545855878,17168.433967750912,17111.417150592268,17699.11792482439,
ECR,38815.565841614516,37371.90994349361,38074.97206547405,34667.63625369484,33687.57989663476,39556.32307562667,33039.35199642269,33348.689095662856,29297.695851436245,28550.436912440528,41693.818768084886,28807.10996737634,34725.82557235695,31853.0246591141,30960.815724981723,32545.815638981396,34559.15703567195,30682.111338200422,29595.368938013027,30420.571722218447,32427.049080073353,31833.51352846552,31920.45092316626,33019.39648671712,33169.77210455997,33839.18811362762,
Grand Total,169544.09013608829,167885.4248906803,162798.00296177567,140469.85520335406,147925.7704235753,167517.08003772696,156960.53630987465,148188.21342497936,135024.87433053248,130612.37283173359,150882.67730201126,140936.5263986891,147091.49480578187,138910.22071757092,134117.52206543123,148094.1226851314,145907.65594033862,142045.40079692547,131711.3167842981,143363.84537134896,140468.07690637614,139691.42521032598,139295.61324054032,143709.66941214117,144739.65023517463,149662.6417691273,
