Unnamed: 0,Unnamed: 1
,
Row Labels,Average of Avg DF%
Casegoods,0.901234
Upholstery,0.908953
25,0.9092914999999999
Casegoods,0.904731
Upholstery,0.913852
26,0.9110515
Casegoods,0.906255
Upholstery,0.915848
19,3.0513552592592594
0,1.676359
Upholstery,1.676359
1,1.166903
Upholstery,1.166903
2,2.335174
Upholstery,2.335174
3,2.176883
Upholstery,2.176883
4,2.069735
Upholstery,2.069735
5,2.745748
Upholstery,2.745748
6,2.828792
Upholstery,2.828792
7,2.717766
Upholstery,2.717766
8,3.045516
Upholstery,3.045516
9,2.586232
Upholstery,2.586232
10,3.190003
Upholstery,3.190003
11,3.426071
Upholstery,3.426071
12,3.160879
Upholstery,3.160879
13,2.948196
Upholstery,2.948196
14,2.902053
Upholstery,2.902053
15,2.927103
Upholstery,2.927103
16,3.444148
Upholstery,3.444148
17,3.591606
Upholstery,3.591606
18,4.418109
Upholstery,4.418109
19,3.917427
Upholstery,3.917427
20,3.453799
Upholstery,3.453799
21,3.329779
Upholstery,3.329779
22,3.243575
Upholstery,3.243575
23,3.826207
Upholstery,3.826207
24,4.177187
Upholstery,4.177187
25,3.527407
Upholstery,3.527407
26,3.553935
Upholstery,3.553935
28,0.8660256666666665
0,0.9692405
Casegoods,1
Upholstery,0.938481
1,0.9785874999999999
Casegoods,0.999488
Upholstery,0.957687
2,0.9425455
Casegoods,0.947298
Upholstery,0.937793
3,0.9336565
Casegoods,0.947686
Upholstery,0.919627
4,0.905373
Casegoods,0.932861
Upholstery,0.877885
5,0.8308835
Casegoods,0.90127
Upholstery,0.760497
6,0.8865989999999999
Casegoods,0.913171
Upholstery,0.860027
7,0.9044915
Casegoods,0.927574
Upholstery,0.881409
8,0.8696524999999999
Casegoods,0.859181
Upholstery,0.880124
9,0.822905
Casegoods,0.826327
Upholstery,0.819483
10,0.793596
Casegoods,0.816608
Upholstery,0.770584
11,0.777414
Casegoods,0.830543
Upholstery,0.724285
12,0.7884645
Casegoods,0.84619
Upholstery,0.730739
13,0.8122005
Casegoods,0.856673
Upholstery,0.767728
14,0.827476
Casegoods,0.864292
Upholstery,0.79066
15,0.827863
Casegoods,0.861434
Upholstery,0.794292
16,0.8342565
Casegoods,0.860678
Upholstery,0.807835
17,0.842043
Casegoods,0.8567
Upholstery,0.827386
18,0.8466255
Casegoods,0.851319
Upholstery,0.841932
19,0.857247
Casegoods,0.85005
Upholstery,0.864444
20,0.8678855000000001
Casegoods,0.856797
Upholstery,0.878974
21,0.873621
Casegoods,0.862674
Upholstery,0.884568
22,0.8742255
Casegoods,0.865386
Upholstery,0.883065
23,0.8754735
Casegoods,0.868713
Upholstery,0.882234
24,0.8788125
Casegoods,0.872883
Upholstery,0.884742
25,0.8808935
Casegoods,0.874447
Upholstery,0.88734
26,0.880661
Casegoods,0.870426
Upholstery,0.890896
42,0.9528507129629629
0,0.7499735
Casegoods,0.793029
Upholstery,0.7069179999999999
1,1
Casegoods,1
Upholstery,1
2,0.970404
Casegoods,0.9672025
Upholstery,0.9736055
3,1
Casegoods,1
Upholstery,1
4,1
Casegoods,1
Upholstery,1
5,1
Casegoods,1
Upholstery,1
6,1
Casegoods,1
Upholstery,1
7,1
Casegoods,1
Upholstery,1
8,1
Casegoods,1
Upholstery,1
9,0.89279575
Casegoods,0.8829795
Upholstery,0.902612
10,0.8530457499999999
Casegoods,0.835001
Upholstery,0.8710905
11,0.847092
Casegoods,0.8127985
Upholstery,0.8813854999999999
12,0.8719625
Casegoods,0.8435414999999999
Upholstery,0.9003835
13,0.8810695
Casegoods,0.863684
Upholstery,0.898455
14,0.88381425
Casegoods,0.860759
Upholstery,0.9068695
15,0.88563925
Casegoods,0.858575
Upholstery,0.9127035
16,0.89117275
Casegoods,0.8545615
Upholstery,0.9277839999999999
17,1
Casegoods,1
Upholstery,1
18,1
Casegoods,1
Upholstery,1
19,1
Casegoods,1
Upholstery,1
20,1
Casegoods,1
Upholstery,1
21,1
Casegoods,1
Upholstery,1
22,1
Casegoods,1
Upholstery,1
23,1
Casegoods,1
Upholstery,1
24,1
Casegoods,1
Upholstery,1
25,1
Casegoods,1
Upholstery,1
26,1
Casegoods,1
Upholstery,1
335,0.9535732777777777
0,0.5177892500000001
Casegoods,0.640464
Upholstery,0.39511450000000004
1,1
