Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,Date,Total Adjusted OB (Delta) Volume,Billable ,Ecomm
2024-12-21 00:00:00,11108,56110,67218,0.1652533547561665,0.8347466452438335,,,,,,,,,
2024-12-28 00:00:00,9330,34930,44260,0.21079981924988703,0.789200180750113,,,,,,,,,
2025-01-04 00:00:00,12385,42462,54847,0.22580998049118456,0.7741900195088154,,,,,,,,,
2025-01-11 00:00:00,9692,56962,66654,0.14540762744921534,0.8545923725507847,,,,,,,,,
2025-01-18 00:00:00,10900,53623,64523,0.1689320087410691,0.8310679912589309,,,,,,,,,
2025-01-25 00:00:00,8687,57523,66210,0.13120374565775564,0.8687962543422444,,,,,,,,,
2025-02-01 00:00:00,10060,57489,67549,0.14892892566877378,0.8510710743312262,,,,,,,,,
2025-02-08 00:00:00,12963,61328,74291,0.17448950747735256,0.8255104925226474,,,,,,,,,
2025-02-15 00:00:00,15202,60257,75459,0.20146039571157848,0.7985396042884215,,,,,,,,,
2025-02-22 00:00:00,26995,54221,81216,0.33238524428684,0.66761475571316,,,,,,,,,
2025-03-01 00:00:00,14914,60799,75713,0.19698070344590757,0.8030192965540924,,,,,,,,,
2025-03-08 00:00:00,13123,62208,75331,0.1742045107591828,0.8257954892408172,,,,,,,,,
2025-03-15 00:00:00,13305,57717,71022,0.18733631832389963,0.8126636816761004,,,,,,,,,
Grand Total,314596,1338859,1653455,0.19026583729221538,0.8097341627077846,,,,,,,,,
