Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,AFIFinanceDivision,(Multiple Items),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,AFIFinanceDivision.1,(Multiple Items).1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,AFIFinanceDivision.2,(Multiple Items).2,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,,,,,,,,,,,,CG,,,,,,,,,,UPH,,,,,,,,,,,,,UPH,,,,,,,
Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,
Row Labels,1  ,15.0,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,,,,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total
2026-05-16 00:00:00,86227,62935.0,72651.0,55029.0,0.0,76572.0,111594,47686.0,512694,2026-05-16 00:00:00,58640,45880,51940.0,42906.0,0.0,55533.0,58769,30199.0,343867,2026-05-16 00:00:00,27587,17016,20711.0,12123.0,0.0,21026.0,52792,17487.0,168742,,,,2026-05-16 00:00:00,27587,17016,20711.0,12123.0,0.0,21026.0,52792,17487.0,168742
2026-05-23 00:00:00,93331,89954.0,76268.0,50227.0,0.0,78054.0,118731,44598.0,551163,2026-05-23 00:00:00,64557,66935,55750.0,34725.0,0.0,57228.0,82453,27765.0,389413,2026-05-23 00:00:00,28774,22997,20518.0,15502.0,0.0,20717.0,36054,16833.0,161395,,,,2026-05-23 00:00:00,28774,22997,20518.0,15502.0,0.0,20717.0,36054,16833.0,161395
2026-05-30 00:00:00,115463,83821.0,110736.0,55255.0,0.0,83037.0,111383,52620.0,612315,2026-05-30 00:00:00,81337,63999,86586.0,41415.0,0.0,62538.0,72622,33821.0,442318,2026-05-30 00:00:00,34126,19779,24150.0,13840.0,0.0,20454.0,38666,18799.0,169814,,,,2026-05-30 00:00:00,34126,19779,24150.0,13840.0,0.0,20454.0,38666,18799.0,169814
2026-06-06 00:00:00,100489,68261.0,81844.0,44206.0,0.0,72066.0,101463,50972.0,519301,2026-06-06 00:00:00,71891,49690,59485.0,31337.0,0.0,51392.0,64901,31455.0,360151,2026-06-06 00:00:00,28598,18351,22359.0,12869.0,0.0,20630.0,36466,19517.0,158790,,,,2026-06-06 00:00:00,28598,18351,22359.0,12869.0,0.0,20630.0,36466,19517.0,158790
2026-06-13 00:00:00,102824,75526.0,88322.0,51318.0,0.0,72038.0,107178,49891.0,547097,2026-06-13 00:00:00,71961,54056,64392.0,35585.0,0.0,49959.0,64921,30581.0,371455,2026-06-13 00:00:00,30863,21393,23930.0,15733.0,0.0,22034.0,42162,19310.0,175425,,,,2026-06-13 00:00:00,30863,21393,23930.0,15733.0,0.0,22034.0,42162,19310.0,175425
2026-06-20 00:00:00,94500,64785.0,76460.0,40175.0,0.0,67427.0,97366,48208.0,488921,2026-06-20 00:00:00,68763,46791,56262.0,28762.0,0.0,46626.0,58796,30103.0,336103,2026-06-20 00:00:00,25737,17934,20198.0,11413.0,0.0,20758.0,38479,18105.0,152624,,,,2026-06-20 00:00:00,25737,17934,20198.0,11413.0,0.0,20758.0,38479,18105.0,152624
2026-06-27 00:00:00,90529,67999.0,76254.0,42368.0,0.0,69863.0,94703,48831.0,490547,2026-06-27 00:00:00,63702,48919,55600.0,30007.0,0.0,49772.0,55961,30293.0,334254,2026-06-27 00:00:00,26827,19015,20654.0,12361.0,0.0,20046.0,38647,18538.0,156088,,,,2026-06-27 00:00:00,26827,19015,20654.0,12361.0,0.0,20046.0,38647,18538.0,156088
2026-07-04 00:00:00,106269,72111.0,78132.0,51121.0,0.0,75301.0,97724,45379.0,526037,2026-07-04 00:00:00,65283,53115,58930.0,37018.0,0.0,55835.0,59041,28769.0,357991,2026-07-04 00:00:00,40986,18918,19202.0,14103.0,0.0,19413.0,38569,16610.0,167801,,,,2026-07-04 00:00:00,40986,18918,19202.0,14103.0,0.0,19413.0,38569,16610.0,167801
2026-07-11 00:00:00,95652,73352.0,76103.0,47915.0,0.0,79127.0,100585,48358.0,521092,2026-07-11 00:00:00,64419,54185,55777.0,34393.0,0.0,59485.0,62504,29844.0,360607,2026-07-11 00:00:00,31233,19085,20326.0,13522.0,0.0,19589.0,37959,18514.0,160228,,,,2026-07-11 00:00:00,31233,19085,20326.0,13522.0,0.0,19589.0,37959,18514.0,160228
2026-07-18 00:00:00,89289,67418.0,73339.0,45222.0,0.0,68525.0,96017,48193.0,488003,2026-07-18 00:00:00,60958,48307,52505.0,32784.0,0.0,48999.0,59737,29898.0,333188,2026-07-18 00:00:00,28331,19030,20834.0,12438.0,0.0,19467.0,36159,18295.0,154554,,,,2026-07-18 00:00:00,28331,19030,20834.0,12438.0,0.0,19467.0,36159,18295.0,154554
