WeekEnding,Warehouse,Warehouse_Desc,Department,Department_Desc,Activity_Desc,Hours_Reg_Total,Hours_OT_Total,Hours_Total,OT %,Headcount_Total,Units_BED,Units_DOM,Units_IMP,Units_IMPUP,Units_UPH,Units_RTA,Units_Gross,NonYard_PPH,% UPH Shipped/Trans,LaborDollars_Reg_Total,LaborDollars_OT_Total,LaborDollars_Total,GrossAmount_NoFreight,GrossAmount_WithFreight,ASP_WithFreight,ASP_NoFreight,NonYard_Pieces/HC_Ratio,NonYard_CostPerPiece,NonYard_SalesPerEmployee,NonYard_SalesPerLaborHour,NonYard_SalesPerUnit,Yard_CostPerMove,Yard_DirMovesFrom,Yard_DirMovesTo,Yard_Moves/HC_Ratio,Yard_MPH,Yard_SalesPerMove,Yard_TotalMoves,Yard_UndirMoves,Yard_UnitsSoldPerMove
2026-03-14 00:00:00,5,Redlands,3642.0,Redlands Ecomm,Ecomm Shipments,462.5,46.7,509.2,0.0917,14.0,7666.0,189.0,2996.0,6.0,60.0,0.0,10917.0,21.44,0.0,10004.32,1527.98,11532.3,1717675.0,1769467.0,162.08,157.34,779.79,1.06,126390.515,3474.99,162.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,5,Redlands,3646.0,Red UPH Receiving,UPH - Receiving,1522.55,31.93,1554.48,0.0205,51.0,549.0,0.0,452.0,2598.0,17723.0,0.0,21322.0,13.72,0.0,33721.76,1293.52,35015.28,0.0,0.0,0.0,0.0,418.08,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,5,Redlands,3719.0,Redlands Transfers,Outbound Xfers,202.94,22.3,225.25,0.099,7.0,1361.0,0.0,3823.0,98.0,385.0,0.0,5667.0,25.16,0.0852,4391.47,762.33,5153.8,0.0,0.0,0.0,0.0,809.57,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,ECR,Ecru,2627.0,Ecru LC,UPH Line Clearing,2560.38,368.88,3173.26,0.1162,68.0,0.0,0.0,0.0,0.0,32920.0,0.0,32920.0,10.37,0.0,52056.88,11276.21,63333.09,0.0,0.0,0.0,0.0,484.12,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,ECR,Ecru,2634.0,ECR CG Receiving,CG - Receiving,2832.5,436.62,3495.12,0.1249,74.0,21702.0,16115.0,28398.0,786.0,0.0,0.0,67001.0,19.17,0.0,62751.73,14766.11,77517.84,0.0,0.0,0.0,0.0,905.42,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,ECR,Ecru,2637.0,Ecru Transfers,Outbound Xfers,494.71,41.12,535.83,0.0767,13.0,1441.0,0.0,2102.0,577.0,6255.0,0.0,10375.0,19.36,0.6585,9967.0,1202.09,11169.09,0.0,0.0,0.0,0.0,798.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,ECR,Ecru,2642.0,ECR Shipping,Shipping - Non-Ecomm,6458.65,2039.78,8718.44,0.234,172.0,17795.0,13639.0,28861.0,4223.0,35574.0,0.0,100092.0,11.48,0.3976,152185.19,73319.63,225504.82,23180763.0,25091840.0,250.69,231.59,581.93,2.25,145882.7923,2878.02,250.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,ECR,Ecru,2662.0,Ecru Ecomm,Ecomm Shipments,321.6,0.0,321.6,0.0,11.0,4723.0,128.0,1606.0,0.0,42.0,0.0,6499.0,20.21,0.0,6996.72,0.0,6996.72,1165691.0,1202789.0,185.07,179.36,590.82,1.08,109344.4982,3740.03,185.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14 00:00:00,ECR,Ecru,2664.0,ECR UPH Receiving,UPH - Receiving,946.46,112.15,1058.61,0.1059,29.0,78.0,0.0,411.0,2972.0,8223.0,0.0,11684.0,11.04,0.0,20230.96,3574.69,23805.65,0.0,0.0,0.0,0.0,402.9,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21 00:00:00,1,Arcadia,1322.0,Arcadia Shipping,Shipping - Non-Ecomm,,,,,0.0,5589.0,15975.0,30806.0,3463.0,23294.0,0.0,79127.0,,0.3382,,,,15482836.0,16778263.0,212.04,195.67,0.0,,0.0,0.0,212.04,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2026-03-21 00:00:00,1,Arcadia,1344.0,Arcadia CG Receiving,CG - Receiving,,,,,0.0,10274.0,18.0,26942.0,135.0,0.0,0.0,37369.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2026-03-21 00:00:00,1,Arcadia,1345.0,Arcadia DOM LC,DOM Line Clearing,,,,,0.0,0.0,43330.0,0.0,0.0,0.0,0.0,43330.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2026-03-21 00:00:00,1,Arcadia,1364.0,Arcadia Transfers,Outbound Xfers,,,,,0.0,115.0,23720.0,3099.0,164.0,2342.0,0.0,29440.0,,0.0851,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
