Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,15,,,,17,,,,28,,,,42,,,,5,,,,ECR,,,,Total Sum of Billable Volume,Total Sum of Billable Invoicing,Total Sum of Ecommerce Volume,Total Sum of Ecommerce Invoicing
DATE,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,,,,
2026-03-14 00:00:00,10326,2201901.42,957,158490.77,4050,959117.23,1459,253753.9,8890.998,2323102.83,1508,224895.05,4473,1044077.6,737,121743.48,0,0,0,0,4566,1227827.6,1430,239330.08,13490.088,3398753.6,788,157278.78,45796.086,11154780.28,6879,1155492.06
2026-03-07 00:00:00,86172,16331152.19,6544,1074035.12,51432,11963228.79,12271,2056672.18,61730.003,14800127.74,9460,1528712.63,40203.942,9569427.01,5914,1012133.63,0,0,0,0,56683.769,14334237.95,11454,1836119.67,107984.386,27316980.58,7117,1334399.25,404206.1,94315154.26,52760,8842072.48
2026-02-28 00:00:00,82410.998,16807782.98,8093,1446716.08,47814,11495146.28,13160,2218509.75,58750.028,14698313.8,10144,1590861.29,32304.003,8596759.35,6574,1092322.5,0,0,0,0,59043.824,14724949.83,12560,2055613.75,89967.197,23557159.1,7503,1490149.19,370290.05,89880111.34,58034,9894172.56
2026-02-21 00:00:00,77260,11713025.24,9972,1786816.91,44260,10698085.11,22377,4031963.45,60239.004,15546457.27,11909,1793825.77,31287.982,8209203.26,7909,1134588.68,0,-93.93,0,0,53194.734,13613923.52,17954,3024971.93,88604.261,22524817.63,11977,2375535.02,354845.981,82305418.1,82098,14147701.76
2026-02-14 00:00:00,73903,14483307.8,7797,1389906.93,43674,10599226.88,13645,2230739.12,59804.011,14148730.71,8420,1347769.79,31098.999,7789482.73,6172,1041571.17,0,-39.2,0,0,52808.932,13420354.07,11800,2036080.95,88098.242,22430368.28,7246,1405904.73,349387.184,82871431.27,55080,9451972.69
2026-02-07 00:00:00,76923,15888492.1,8143,1433610.45,46942,11296690.15,12939,2199621.89,49750.998,11979696.31,6612,1130442.03,31353.95,7708166.07,4753,646417.25,0,-1,0,0,53992.769,13172272.25,9699,1516008.61,80433.298,20181883.45,7731,1340824.31,339396.015,80227199.33,49877,8266924.54
2026-01-31 00:00:00,75165,10722085.53,6631,1058573.35,34643,8094955.97,10588,1743554.74,42722.998,10678604.6,7132,1241057.44,20382.002,5003637.45,4066,574719.69,0,-28.1,0,0,54540.931,13761533.6,9745,1618673.6,50458.297,12884622.03,5473,936516.06,277912.228,61145411.08,43635,7173094.88
